排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,16104364623.449999,483841505,569,28302925.524516694,182.09246854197548,27.945130434782605,0.55,308,171,90,⭐,auto
2,大盘股,10885859217.21,324906071,300,36286197.3907,208.96122818461657,31.430181818181815,0.54,153,91,56,⭐,auto
3,深成500,10435012724.39,283777160,500,20870025.44878,149.59882183429485,20.233829787234043,0.58,316,119,65,⭐,auto
4,标准普尔,10155063323.67,538564807,799,12709716.299962454,73.36509620898528,,0.32,411,238,150,⭐,auto
5,华为概念,10039026955.759998,372258612,732,13714517.699125681,89.14594986628957,14.033428571428571,0.82,533,124,74,⭐,auto
6,百元股,9091389268.93,38298277,249,36511603.48967872,357.59860353471794,98.328,1.35,193,46,10,⭐,auto
7,HS300_,9060855587.26,227371223,300,30202851.957533333,215.98320532081175,31.430181818181815,0.4,140,104,56,⭐,auto
8,中盘股,7446132100.2699995,223238223,497,14982157.1434004,124.19451240610312,23.82988888888889,0.51,292,141,64,⭐,auto
9,富时罗素,7346038750.05,373151031,600,12243397.91675,115.10067928196985,,0.29,291,189,120,⭐,auto
10,中证500,7148765517.76,290507932,500,14297531.03552,103.00734577530756,19.089565217391304,0.53,294,127,79,⭐,auto
11,电池技术,6874312681.110001,272230618,559,12297518.213076925,69.44836037106103,13.411733333333332,0.52,362,123,74,⭐,auto
12,国产芯片,6854734530.190001,99560443,294,23315423.57207483,266.8558396522896,,1.39,245,33,16,⭐,auto
13,半导体概念,6727001831.0,94273981,276,24373195.039855074,279.2701766299359,,1.76,233,30,13,⭐,auto
14,大盘成长,6149647091.49,78539129,94,65421777.56904255,306.7355687300006,,0.91,62,25,7,⭐,auto
15,通信技术,6040207410.42,126359749,290,20828301.41524138,173.44812281231117,,1.19,246,30,13,⭐,auto
16,物联网,5280729384.129999,183133415,364,14507498.308049448,114.36560383002104,25.02618181818182,0.9,279,57,28,⭐,auto
17,基金重仓,5268321586.42,51237820,100,52683215.8642,310.06973753096605,98.328,1.08,69,28,3,⭐,auto
18,QFII重仓,5261374965.33,253004675,720,7307465.229625,73.57837500040942,12.013,0.54,465,158,97,⭐,auto
