排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
19,中盘成长,5217577729.88,104415765,228,22884112.85035088,160.91107218762838,22.01925,0.81,154,54,20,⭐,auto
20,算力概念,5210485092.77,150292935,189,27568704.19455027,251.33654345206477,21.455333333333332,1.25,146,30,12,⭐,auto
21,上证180_,5145076521.0,145987364,180,28583758.45,220.78429366811937,,0.4,73,67,40,⭐,auto
22,大数据,5027633448.43,214660422,286,17579137.93157343,48.2126935858011,16.5065,0.76,195,68,22,⭐,auto
23,光通信模块,5017762444.6,83359095,83,60454969.212048195,186.96797948663186,,1.94,73,6,4,⭐,auto
24,光伏概念,4747956734.74,364264398,417,11385987.373477217,47.265954366957665,9.682,0.64,261,91,65,⭐,auto
25,CPO概念,4539930445.3,65431214,50,90798608.906,176.31835280069987,,2.47,45,3,2,⭐,auto
26,数据中心,4308234894.82,121705766,189,22794893.62338624,199.46894252283576,,1.04,143,30,16,⭐,auto
27,长江三角,4163544761.25,215586925,406,10255036.35775862,54.56725182861563,9.032,0.43,225,92,89,⭐,auto
28,存储芯片,4131037686.5200005,53212046,98,42153445.78081633,217.24102586453597,,2.85,97,0,1,⭐,auto
29,商业航天,4113724333.02,138280548,282,14587674.939787233,67.5334022615085,16.643,1.02,234,31,17,⭐,auto
30,军工,3732602574.77,150282987,397,9402021.598916877,52.857721006754915,18.1206,0.8,292,71,34,⭐,auto
31,通信,3718313971.5199995,100162507,123,30230194.8904065,162.17226779609973,29.022,1.42,107,10,5,⭐,auto
32,西部大开发,3678521171.85,209898253,573,6419757.717015707,116.84214522652903,15.25895238095238,0.37,317,165,90,⭐,auto
33,锂电池概念,3644721498.9700003,116757205,280,13016862.49632143,85.46344558141952,,0.43,169,69,42,⭐,auto
34,人工智能,3614927179.4700003,73349890,272,13290173.453933824,288.4343874536399,,0.67,182,64,25,⭐,auto
35,深证100R,3574280062.0600004,62630803,100,35742800.62060001,227.67170803504234,31.430181818181815,0.53,57,27,16,⭐,auto
36,固态电池,3524644649.46,96161129,200,17623223.2473,89.54000688117348,21.99,0.52,123,55,22,⭐,auto
37,光纤概念,3516403587.38,101079459,63,55815929.9584127,128.4339458126963,29.022,2.11,60,2,1,⭐,auto
38,消费电子概念,3510228779.0,70679587,174,20173728.61494253,126.87463441657157,23.5185,1.19,143,21,10,⭐,auto
39,数字芯片设计,3377815476.6800003,14612379,51,66231676.01333334,424.9019153718876,,2.8,49,2,0,⭐,auto
40,新能源车,3282924240.79,90098270,363,9043868.431928374,91.52523027162971,,0.5,223,92,48,⭐,auto
41,百日新高,3256973749.55,90380047,139,23431465.82410072,145.4570069109829,17.204,0.9,83,41,15,⭐,auto
42,风能,3227379362.04,193326799,223,14472553.193004483,39.082475362376876,11.301714285714285,0.67,144,43,36,⭐,auto
43,近期新高,3214228312.14,94926581,154,20871612.416493505,104.20324308592176,48.83,0.8,87,52,15,⭐,auto
44,创业成份,3208727012.63,42774345,100,32087270.1263,279.11321575001386,,0.83,67,25,8,⭐,auto
45,特斯拉概念,3159184873.12,66126709,195,16200948.06728205,141.37904514700867,,0.54,132,45,18,⭐,auto
46,新能源,3016189884.01,223969642,209,14431530.545502393,34.48020071372226,10.859499999999999,0.6,136,40,32,⭐,auto
47,DeepSeek概念,2940456923.1699996,132845670,248,11856681.141814515,113.86469456003121,16.8764,0.56,166,55,27,⭐,auto
48,最近多板,2919867928.05,162759956,177,16496428.9720339,51.05579254492524,15.281200000000002,0.67,92,52,33,⭐,auto
49,周期股,2918211207.9700003,80720347,100,29182112.079700004,149.91128807475232,4.3340000000000005,0.1,40,41,19,⭐,auto
50,权重股,2904123153.79,41660238,50,58082463.0758,422.09839550419,80.45599999999999,0.45,22,17,11,⭐,auto
51,行业龙头,2865734453.74,69050752,96,29851400.559791666,217.7743767197737,42.23799999999999,0.34,52,26,18,⭐,auto
52,阿里概念,2832637708.2200003,87911781,162,17485417.951975312,285.9391352908302,14.9536,0.68,104,38,20,⭐,auto
53,证金持股,2807967340.02,133622049,188,14935996.489468085,64.87220855027465,23.783529411764704,0.2,80,68,40,⭐,auto
54,小盘股,2705689979.0,110425086,395,6849848.048101266,105.89410782812745,,0.57,233,102,59,⭐,auto
55,云计算,2699486514.17,81755724,136,19849165.545367647,106.40224428774194,25.656399999999998,0.81,96,30,10,⭐,auto
56,小米概念,2685936491.54,80943047,222,12098813.024954954,131.75784781163745,10.3524,0.9,170,30,22,⭐,auto
57,AI眼镜,2672511658.94,45235354,116,23038893.611551724,201.47260868063626,16.607,1.18,92,18,6,⭐,auto
58,人形机器人,2520491170.88,82591981,228,11054785.837192982,96.34824055035341,35.163999999999994,0.45,143,64,21,⭐,auto
59,上证50_,2506108379.0,45971091,50,50122167.58,354.55937218558734,,0.56,19,19,12,⭐,auto
60,军民融合,2457943923.44,105507653,173,14207768.343583815,36.822534651778824,19.0765,0.74,130,26,17,⭐,auto
61,电网概念,2430468741.21,114040001,216,11252170.098194445,42.476356166261596,21.3568,0.75,158,33,25,⭐,auto
62,工业互联,2418240593.4399996,95270729,193,12529744.007461138,59.8143959298966,19.826,0.6,122,45,26,⭐,auto
63,百度概念,2398785838.41,89939056,147,16318271.009591836,134.01595489555262,9.653,0.5,93,37,17,⭐,auto
64,央国企改革,2349167904.0,214475758,372,6314967.483870967,36.42184326150321,,0.38,194,100,77,⭐,auto
65,量子科技,2345488512.38,55799619,52,45105548.315000005,79.36383363004865,25.122,1.33,45,5,2,⭐,auto
66,PCB,2338252775.71,49234218,133,17580847.937669173,129.1378633304653,3.084,0.9,101,24,8,⭐,auto
67,AH股,2261849729.0,121547474,100,22618497.29,156.22751142959174,,0.44,42,36,22,⭐,auto
68,网络安全,2255560217.58,93161728,129,17484962.926976744,38.90047379962622,25.784333333333333,0.85,100,22,7,⭐,auto
69,液冷概念,2241301743.5,51704050,93,24100018.747311827,60.58727476423122,,1.07,69,17,7,⭐,auto
70,机器人概念,2127847499.0,69680709,265,8029613.203773585,104.81542039663992,,0.51,178,56,31,⭐,auto
71,有色金属,2110777672.26,131424464,138,15295490.378695652,46.79239590889233,23.76533333333333,0.25,79,45,14,⭐,auto
72,破增发价股,2089311375.83,239969607,599,3487998.9579799664,33.958775129482184,8.3951,0.33,344,138,117,⭐,auto
73,节能环保,2037867426.0900002,187771245,410,4970408.356317073,115.25934380483844,12.619454545454545,0.39,239,104,67,⭐,auto
74,AIPC,2027794917.96,20537363,42,48280831.38,274.99957872706386,,1.7,35,6,1,⭐,auto
75,无人机,2000067901.21,64571101,214,9346111.687897196,53.18248548737903,23.656000000000002,0.81,168,27,19,⭐,auto
76,智能电网,1973675619.81,91735921,185,10668516.863837838,42.92892132937323,22.5365,0.75,140,27,18,⭐,auto
77,海工装备,1928929805.08,73622219,72,26790691.73722222,53.28843579932579,16.190800000000003,0.8,50,11,11,⭐,auto
78,AI应用,1927560170.9900002,101166662,196,9834490.668316327,53.48079321241064,23.974666666666664,0.35,117,55,24,⭐,auto
79,股权激励,1902674068.5,58861649,212,8974877.681603774,114.76266369081743,36.851499999999994,0.49,141,51,20,⭐,auto
80,小金属概念,1890724072.03,78740246,110,17188400.65481818,43.81332326454196,23.76533333333333,0.48,67,30,13,⭐,auto
81,央视50_,1875663095.68,38873665,50,37513261.9136,147.0938880576645,43.974000000000004,0.43,18,20,12,⭐,auto
82,无线耳机,1874337893.42,32194838,81,23139973.992839508,143.33160426296334,38.339999999999996,0.99,68,11,2,⭐,auto
83,汽车芯片,1870854324.48,25443644,69,27113830.789565217,195.89255259700232,19.812,1.78,62,5,2,⭐,auto
84,信创,1840564162.0,30523939,89,20680496.20224719,257.79466360045353,,0.84,56,25,8,⭐,auto
85,先进封装,1799495009.23,19640354,30,59983166.97433333,411.1882710224894,,2.3,28,2,0,⭐,auto
86,卫星互联网,1797177715.48,53336274,87,20657215.12045977,64.33607401428789,32.191,1.18,74,10,3,⭐,auto
87,参股银行,1768464322.8400002,107819064,228,7756422.468596492,33.1031523159159,11.594,0.31,103,71,54,⭐,auto
88,区块链,1766687034.6200001,104905395,196,9013709.360306123,46.3350136682336,,0.5,115,58,23,⭐,auto
89,钠离子电池,1725760875.65,59286495,69,25011027.183333334,111.39150449619378,25.764,0.53,42,22,5,⭐,auto
90,电池,1723860621.18,37325765,94,18338942.778510638,131.56665161736692,28.938,0.09,46,35,13,⭐,auto
91,特高压,1717158444.4,68228095,84,20442362.433333334,42.65911990180161,17.2515,0.87,66,10,8,⭐,auto
92,贬值受益,1705951545.04,38641292,172,9918322.93627907,211.00543955177025,10.203,0.29,96,47,29,⭐,auto
93,参股券商,1698879085.08,73816624,127,13377000.669921258,35.269838866184536,24.907400000000003,0.45,76,24,27,⭐,auto
94,第三代半导体,1674462127.1200001,53594406,95,17625917.127578948,93.33257542682126,,1.32,83,10,2,⭐,auto
95,AI芯片,1647904449.0500002,12304482,38,43365906.553947374,480.4104322693645,4.276,1.85,36,2,0,⭐,auto
96,元宇宙概念,1646972844.7,95302914,142,11598400.314788733,29.656516091193325,12.898,0.66,99,31,12,⭐,auto
97,数据安全,1633328132.4499998,59182542,80,20416601.655624997,97.0626881761299,24.316000000000003,0.76,61,14,5,⭐,auto
98,数字经济,1629714136.62,95871503,176,9259739.412613636,31.87560297868345,16.355999999999998,0.6,116,39,21,⭐,auto
99,6G概念,1618780560.7199998,37599711,34,47611192.96235293,52.71517567898177,38.339999999999996,1.74,32,1,1,⭐,auto
100,可控核聚变,1601941439.71,61225158,75,21359219.196133334,89.40059501221978,10.797,0.94,54,12,9,⭐,auto
101,铜缆高速连接,1580949678.96,30430850,36,43915268.86,72.39647709867448,,1.45,32,0,4,⭐,auto
102,茅指数,1559275490.59,21122831,42,37125606.91880952,207.40768043072913,89.392,0.4,17,20,5,⭐,auto
103,国产软件,1522612090.23,77224387,223,6827856.906860987,56.944406519361095,16.074,0.51,142,59,22,⭐,auto
104,历史新高,1518732206.29,19884628,41,37042248.933902435,255.74951328581986,,1.21,29,10,2,⭐,auto
105,海洋经济,1515801220.87,65906409,96,15789596.050729165,42.865631467395104,,0.37,58,28,10,⭐,auto
106,国防军工,1514180195.56,45384440,138,10972320.25768116,57.39842603512673,17.905333333333335,0.86,114,18,6,⭐,auto
107,AIGC概念,1482341670.57,85546733,109,13599464.867614679,47.02314194199798,8.759,0.56,74,21,14,⭐,auto
108,核能核电,1470880308.96,153383043,186,7907958.650322581,25.34707340504562,11.735333333333335,0.59,121,30,35,⭐,auto
109,消费电子零部件及组装,1464051174.02,36924447,79,18532293.342025317,87.59646958035066,30.898000000000003,1.11,69,7,3,⭐,auto
110,英伟达概念,1460535375.97,21853166,60,24342256.26616667,207.97502778250512,39.775999999999996,0.74,46,13,1,⭐,auto
111,中特估,1442100390.2399998,87974155,81,17803708.52148148,47.034776938356416,17.6265,0.34,34,17,30,⭐,auto
112,3D打印,1417778385.12,33053565,69,20547512.827826086,96.62555150599981,,0.96,44,12,13,⭐,auto
113,通信线缆及配套,1416810890.0,35736234,11,128800990.0,62.4168461447526,19.704,3.41,11,0,0,⭐,auto
114,智慧城市,1397734621.82,72170477,203,6885392.225714285,53.051020376242654,15.6025,0.72,129,47,26,⭐,auto
115,独角兽,1389520890.66,86852679,104,13360777.794807693,45.15878268270627,11.554,0.49,70,21,13,⭐,auto
116,锂矿概念,1385271714.3500001,34349005,37,37439776.06351352,143.53717719909906,12.456,0.52,22,12,3,⭐,auto
117,北斗导航,1375609472.8899999,59422243,71,19374781.308309857,45.872028809463515,14.186,0.96,62,7,2,⭐,auto
118,低空经济,1308777295.85,72506649,183,7151788.501912568,62.56577041941776,,0.83,135,27,20,⭐,auto
119,电商概念,1290284945.0500002,148150473,290,4449258.431206897,67.26501937389794,,0.2,152,91,47,⭐,auto
120,F5G概念,1261250880.6,17107114,25,50450035.224,242.83961714334123,19.704,1.71,19,3,3,⭐,auto
121,大盘价值,1243772204.5,145144499,101,12314576.282178218,20.262548820032745,30.761666666666667,0.2,37,27,37,⭐,auto
122,数据要素,1240223615.58,71842019,154,8053400.101168831,38.71709817617856,12.6555,0.68,107,34,13,⭐,auto
123,铁路基建,1224415594.0,108224740,120,10203463.283333333,38.7730742465648,8.770000000000001,0.46,73,19,28,⭐,auto
124,计算机设备,1222719002.8899999,36967326,85,14384929.445764704,100.93716329102968,22.59,1.14,66,13,6,⭐,auto
125,AI智能体,1222229393.38,89718123,135,9053551.062074075,41.63703400916403,12.264000000000001,0.59,92,29,14,⭐,auto
126,IT服务Ⅲ,1164331059.6100001,60737768,120,9702758.830083335,48.140554968151186,20.5425,0.79,87,21,12,⭐,auto
127,IT服务Ⅱ,1164331059.6100001,60737768,120,9702758.830083335,48.140554968151186,20.5425,0.79,87,21,12,⭐,auto
128,石墨烯,1156784035.12,36553558,66,17527030.835151512,44.309771317698065,5.654,0.46,38,17,11,⭐,auto
129,通用设备,1127323190.87,61603420,168,6710257.088511904,104.35552846204148,,0.68,115,38,15,⭐,auto
130,LED概念,1107030841.67,33519912,96,11531571.267395834,118.93733400538068,11.867,0.93,74,7,15,⭐,auto
131,毫米波概念,1105127890.5500002,24696387,45,24558397.567777783,74.14744013000558,22.927,0.85,35,5,5,⭐,auto
132,养老金,1096294850.44,36521610,197,5564948.479390863,69.73262944788468,7.82,0.47,122,46,28,⭐,auto
133,稀缺资源,1092432118.3600001,44888070,78,14005539.978974361,45.185513593297294,7.756,0.43,51,19,8,⭐,auto
134,碳纤维,1076850225.5,32447526,39,27611544.243589744,40.162224415724936,5.41,0.58,25,6,8,⭐,auto
135,电子烟,1073278864.3199999,21893082,51,21044683.614117645,67.43779431109502,,0.78,34,12,5,⭐,auto
136,燃料电池概念,1067245140.39,46025361,139,7678022.5927338125,44.66945927760498,20.111333333333334,0.55,94,30,15,⭐,auto
137,光刻机(胶),1061097930.8299999,19913791,92,11533673.16119565,154.8637014010389,,1.05,74,12,6,⭐,auto
138,其他计算机设备,1060990617.1099999,30813712,61,17393288.805081967,110.91205486820152,22.59,1.05,49,9,3,⭐,auto
139,互联网服务,1059877847.3199999,44632194,96,11040394.242916666,58.93707341712972,,0.98,72,16,8,⭐,auto
140,电力,1059243382.8,159405519,108,9807809.1,8.504713936259165,9.502571428571429,0.45,60,24,24,⭐,auto
141,超级电容,1053065664.67,29161442,30,35102188.82233333,45.73615711450647,19.775000000000002,1.03,24,2,4,⭐,auto
142,汽车,1052600193.53,51303018,285,3693334.012385965,50.28152273433613,15.209142857142856,0.17,154,90,41,⭐,auto
143,超导概念,1015430233.31,35717356,18,56412790.73944444,45.02429787404071,,1.27,16,2,0,⭐,auto
144,传感器,1002049107.9399999,23366500,91,11011528.658681318,163.2445532612586,,1.02,72,14,5,⭐,auto
145,华为海思,990289462.71,26011172,38,26060249.018684212,94.39917595416752,21.3565,1.29,32,4,2,⭐,auto
146,MiniLED,987765459.65,46212862,66,14966143.328030303,104.81801422970227,5.026,1.1,53,6,7,⭐,auto
147,动力电池回收,979833156.95,25154013,41,23898369.68170732,181.20990958684837,7.708,0.43,26,13,2,⭐,auto
148,鸿蒙概念,970946413.5999999,50044820,118,8228359.437288134,43.21865727636157,28.921499999999998,0.61,85,27,6,⭐,auto
149,玻璃基板,958845032.19,24724468,34,28201324.47617647,68.24352539498335,4.042,1.54,30,1,3,⭐,auto
150,无线充电,938827306.8699999,18772608,40,23470682.671749998,73.05771830805749,31.144666666666666,0.98,32,6,2,⭐,auto
151,参股新三板,936169150.23,56521804,104,9001626.444519231,33.268230736170494,7.9015,0.48,70,21,13,⭐,auto
152,ChatGPT概念,924534708.77,49908154,67,13799025.50402985,55.88476816293199,39.775999999999996,0.36,42,18,7,⭐,auto
153,在线教育,911291756.94,60439471,110,8284470.517636364,23.464668810737066,36.77799999999999,0.61,72,21,17,⭐,auto
154,雄安新区,908468235.99,97549028,147,6180056.027142857,33.122877199964606,11.63,0.28,84,36,27,⭐,auto
155,大飞机,906519037.2,40538228,99,9156757.951515151,56.575032148806365,18.497333333333334,0.8,79,12,8,⭐,auto
156,工业母机,893793614.5,59921060,79,11313843.221518988,63.735431475736874,5.029,0.63,44,23,12,⭐,auto
157,传媒,879840502.65,62725085,99,8887277.804545455,26.51151320625271,,0.27,57,32,10,⭐,auto
158,混合现实,862653169.59,26317585,30,28755105.653,71.50241825889991,,0.94,23,4,3,⭐,auto
159,绿色电力,849313249.16,119016244,99,8578921.708686868,11.644020726839923,,0.47,68,13,18,⭐,auto
160,公用事业,845595962.0,129325821,94,8995701.723404255,8.4915321257514,,0.34,51,21,22,⭐,auto
161,养老概念,842818824.9300001,112834291,128,6584522.0697656255,15.677210548484728,4.299,0.21,71,34,23,⭐,auto
162,安防概念,833689029.3,38499487,109,7648523.204587156,39.649012028958936,18.018,0.96,81,20,8,⭐,auto
163,宁组合,824874157.8,8641397,24,34369756.574999996,272.96395708629393,,0.24,12,11,1,⭐,auto
164,柔性屏(折叠屏),815889952.4000001,27858745,74,11025539.897297299,74.38541185800315,5.345333333333333,0.7,59,11,4,⭐,auto
165,深圳特区,800049787.79,16879559,98,8163773.344795918,93.95594762165457,,0.74,66,26,6,⭐,auto
166,新型工业化,788938993.35,37048067,97,8133391.684020619,60.06200200161078,,0.74,64,20,13,⭐,auto
167,PPP模式,756475998.0,141482372,146,5181342.452054795,13.56080917311646,4.820857142857142,0.09,69,43,34,⭐,auto
168,小红书概念,735128129.65,40759095,72,10210112.911805555,118.9429252045144,,0.25,39,28,5,⭐,auto
169,IGBT概念,734716026.1800001,23220606,40,18367900.6545,53.97175547816876,19.812,1.37,33,2,5,⭐,auto
170,高带宽内存,729160549.12,8643829,27,27005946.263703704,230.84704364846203,,2.46,26,1,0,⭐,auto
171,氟化工概念,726027736.1500001,22718859,36,20167437.115277782,49.709093677492966,,0.65,24,8,4,⭐,auto
172,雅下水电概念,720557422.0,99813601,52,13856873.5,11.460461272292509,9.380666666666665,0.99,37,7,8,⭐,auto
173,黄金概念,719951608.16,40930654,70,10285022.973714285,28.66924755220732,10.139714285714286,0.17,25,30,15,⭐,auto
174,网络游戏,717201325.35,44884927,66,10866686.747727273,60.581768840053215,,0.43,37,18,11,⭐,auto
175,虚拟现实,709666612.94,16525718,96,7392360.551458334,182.6840576876574,,0.63,67,19,10,⭐,auto
176,多模态AI,703677847.5200001,23842600,63,11169489.643174605,45.23872511630774,10.246,0.88,48,10,5,⭐,auto
177,金属制品,698307185.9300001,54611109,69,10120393.998985508,36.512922069255076,12.916,0.76,44,18,7,⭐,auto
178,碳化硅,692149742.99,20759896,42,16479755.785476191,87.81586712849803,,1.14,36,4,2,⭐,auto
179,自动化设备,690563012.63,14412964,80,8632037.657875,123.37241447852391,,0.68,59,13,8,⭐,auto
180,工业金属,690507657.89,99120373,58,11905304.44637931,21.046863321821778,7.756,0.07,31,19,8,⭐,auto
181,次新股,689835528.19,6841135,53,13015764.68283019,327.04585338652373,,1.12,33,13,7,⭐,auto
182,蚂蚁概念,687427818.08,32395069,61,11269308.493114755,210.9481177144678,7.531999999999999,0.35,34,15,12,⭐,auto
183,机器人执行器,686042638.0100001,14189467,35,19601218.228857145,81.60371286697176,,0.42,19,11,5,⭐,auto
184,湖北自贸,684375104.39,14371339,28,24441968.01392857,119.41340046733013,8.34,1.0,18,5,5,⭐,auto
185,光模块,683300697.8599999,34420711,94,7269156.360212765,27.86647901239333,14.186,0.26,54,26,14,⭐,auto
186,航天航空,675415918.4599999,17472782,49,13783998.335918365,59.55028062914779,,0.82,39,8,2,⭐,auto
187,网红经济,673590014.91,46979186,99,6803939.544545454,20.317665283170637,,0.11,55,37,7,⭐,auto
188,减速器,665977633.44,31007172,76,8762863.597894737,64.46096822879632,17.857999999999997,0.24,37,29,10,⭐,auto
189,锂电池,664806340.72,9742769,27,24622457.063703705,245.72640398327755,28.938,-0.08,9,13,5,⭐,auto
190,并购重组概念,662728203.0,44278546,93,7126109.70967742,80.01391219942437,8.2165,0.64,59,21,13,⭐,auto
191,中盘价值,658314761.38,39600775,122,5396022.634262295,38.100420653208126,23.666666666666668,0.18,61,39,22,⭐,auto
192,火力发电,647940695.44,101557861,31,20901312.756129034,7.734138634000415,8.3825,0.66,18,5,8,⭐,auto
193,长期破净,641771111.75,158040474,192,3342557.8736979165,8.13012778239023,6.398266666666667,0.07,65,55,72,⭐,auto
194,破净股,638605063.0,139312357,279,2288907.035842294,8.695191403862296,6.849652173913044,0.0,97,80,102,⭐,auto
195,数字货币,632702690.26,49233404,82,7715886.466585366,66.12479048498712,14.436000000000002,0.62,57,19,6,⭐,auto
196,乡村振兴,625713280.85,69497140,140,4469380.577500001,14.694056974626067,7.453142857142857,0.4,82,38,20,⭐,auto
197,氮化镓,625365385.6399999,23755954,47,13305646.50297872,94.41921376345753,3.084,1.09,43,4,0,⭐,auto
198,移动支付,619641200.51,22000774,68,9112370.595735295,64.75938992244448,,0.57,50,12,6,⭐,auto
199,3D摄像头,618174274.2,12242894,9,68686030.46666667,66.61566281876502,,1.91,7,2,0,⭐,auto
200,低价股,616423814.22,309793522,137,4499443.899416058,2.3097468501073446,2.6618,-0.07,43,38,56,⭐,auto
201,荣耀概念,608394358.3,20849865,55,11061715.605454545,76.85055060067444,16.49,0.98,43,6,6,⭐,auto
202,病原体防治,603035252.99,38159441,166,3632742.4878915665,31.914566048569228,18.633,0.28,91,50,25,⭐,auto
203,集成电路封测,602411959.2,12890218,12,50200996.6,58.329767995054105,,2.53,12,0,0,⭐,auto
204,生物识别,601389834.98,18644054,50,12027796.6996,42.92770003216326,,0.74,35,11,4,⭐,auto
205,水利建设,586769868.62,65202895,107,5483830.547850467,23.199853892590973,8.825,0.47,73,23,11,⭐,auto
206,被动元件概念,578151144.7099999,9758048,28,20648255.168214284,81.41922729815865,12.693999999999999,1.98,27,1,0,⭐,auto
207,小金属,569302145.98,10502956,24,23720922.749166667,64.30821140055664,,0.57,16,5,3,⭐,auto
208,快手概念,560384191.3,31976270,32,17512005.978125,23.808017976007815,,0.63,24,3,5,⭐,auto
209,广告营销,557076113.9,32930390,30,18569203.796666667,23.27005011330643,,0.29,20,6,4,⭐,auto
210,增强现实,556936094.45,21502272,44,12657638.510227274,66.52450009153918,,0.62,32,9,3,⭐,auto
211,合成生物,554261153.5999999,50605495,112,4948760.299999999,22.67317345131095,,0.07,59,37,16,⭐,auto
212,氢能源,551907058.0,50005240,90,6132300.644444444,33.265588577345646,,0.46,52,22,16,⭐,auto
213,通信服务,541301826.8,43631626,39,13879534.02051282,47.07301552787962,,1.04,31,4,3,⭐,auto
214,军工电子Ⅱ,530634502.39000005,17430647,62,8558621.006290324,54.23914415752489,26.042,0.98,55,5,2,⭐,auto
215,短剧互动游戏,521287129.75,37057162,35,14893917.992857143,18.89686326469774,,0.51,21,8,6,⭐,auto
216,蓝宝石,520126343.75,16954931,18,28895907.986111112,57.994995556601246,,1.57,16,1,1,⭐,auto
217,油气资源,516781676.1,57524709,144,3588761.6395833334,20.586948522689696,7.561333333333334,0.42,88,28,28,⭐,auto
218,跨境支付,514192130.90999997,36176020,61,8429379.195245901,23.299736304433406,12.889000000000001,0.37,30,21,10,⭐,auto
219,碳交易,509045647.73,44192952,97,5247893.27556701,23.526116176190254,,0.25,51,30,16,⭐,auto
220,海南自贸,505360871.40000004,64525656,82,6162937.456097562,48.57411612899161,7.134888888888889,0.39,44,21,17,⭐,auto
221,冷链物流,503217602.31,30113450,112,4493014.306339285,38.23761230585022,10.9978,0.17,69,28,15,⭐,auto
222,创业板综,501250493.90000004,5857880,100,5012504.939,231.58062581059735,,0.5,69,18,11,⭐,auto
223,北交所概念,492236614.0,25034000,25,19689464.56,24.498615694524506,9.389,1.37,19,0,6,⭐,auto
224,智谱AI概念,490591272.89,26613183,32,15330977.2778125,26.906703975350652,25.168666666666667,0.6,22,8,2,⭐,auto
225,基础化工,487520351.0,23671717,162,3009384.8827160494,37.83206435085353,,0.44,91,43,28,⭐,auto
226,反内卷概念,487453012.0,47975151,99,4923767.797979798,41.49346768756972,,0.12,51,30,18,⭐,auto
227,华为昇腾,484522228.99,18022175,46,10533091.934565218,38.782567987500364,31.44066666666667,0.99,34,8,4,⭐,auto
228,虚拟电厂,469856266.25,36499591,66,7119034.337121212,40.80724242116807,7.18,0.67,48,10,8,⭐,auto
229,微利股,462184157.2,44726863,98,4716164.869387755,22.823546060500924,3.082,0.53,62,19,16,⭐,auto
230,PEEK材料概念,457019535.87,11394447,41,11146817.94804878,63.770292025680575,,0.67,25,12,4,⭐,auto
231,TOPCon电池,452893110.25,43765226,44,10293025.232954545,61.151245055083066,,1.04,33,6,5,⭐,auto
232,IPO受益,452832526.0,43931289,55,8233318.654545454,54.22781669607806,37.51733333333333,0.41,31,11,13,⭐,auto
233,底盘与发动机系统,449683241.60999995,22587430,92,4887861.321847825,38.98549548892962,16.3728,0.36,48,28,16,⭐,auto
234,电子化学品Ⅲ,446618136.03,10797852,33,13533882.909999998,62.4730955208906,,1.88,30,2,1,⭐,auto
235,天然气,443159000.1,40532646,121,3662471.075206612,20.97139799830955,7.561333333333334,0.38,74,26,21,⭐,auto
236,电网设备,440465080.9,18698581,86,5121686.987209302,33.455539489121264,,0.65,62,14,10,⭐,auto
237,能源金属,436477247.83,8515895,11,39679749.802727275,66.57293943522458,,0.06,6,5,0,⭐,auto
238,数字孪生,436387502.21,23868047,83,5257680.749518072,37.77988175736167,10.776,0.58,56,17,10,⭐,auto
