排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,7941492897.889999,236762069,568,13981501.580792252,-0.19,179,292,97,⭐
2,华为概念,6252231271.41,253205413,732,8541299.551106557,-0.47,147,510,75,⭐
3,深成500,5990455158.360001,162421905,500,11980910.316720001,-0.22,153,273,74,⭐
4,大盘股,5717454204.6,138838363,299,19121920.41672241,-0.18,102,142,55,⭐
5,标准普尔,5500954823.76,362648098,797,6902076.315884568,-0.15,233,391,173,⭐
6,百元股,4624904708.62,23466565,246,18800425.644796748,-0.59,58,177,10,⭐
7,HS300_,4611809195.82,122625380,299,15424111.022809364,-0.1,108,136,55,⭐
8,电池技术,4436870406.24,202128684,561,7908859.904171122,-0.17,204,281,75,⭐
9,通信技术,4307001473.139999,103449722,289,14903119.284221452,-0.79,50,219,17,⭐
10,商业航天,4011259865.28,151863842,279,14377275.5027957,-0.11,93,160,26,⭐
11,大盘成长,3680777909.64,44137855,94,39157211.80468085,-0.6,29,58,7,⭐
12,富时罗素,3668617076.77,175728813,599,6124569.410300501,-0.15,178,297,124,⭐
13,中盘股,3644571411.04,138255824,497,7333141.672112676,-0.22,150,271,75,⭐
14,中证500,3535862116.6099997,156149572,500,7071724.233219999,-0.2,160,262,78,⭐
15,光通信模块,3392727714.79,81548324,82,41374728.22914634,-0.92,11,66,5,⭐
16,算力概念,3250555427.46,206426688,188,17290188.44393617,-0.59,34,142,10,⭐
17,QFII重仓,3243181768.01,158858428,722,4491941.506939058,-0.27,206,413,100,⭐
18,国产芯片,3000248523.01,68755600,291,10310132.381477663,-0.43,64,198,28,⭐
19,CPO概念,2995492543.3,48720238,49,61132500.883673474,-1.4,5,42,2,⭐
20,光伏概念,2975122385.44,189600109,418,7117517.668516747,-0.11,157,200,58,⭐
21,军工,2889443261.62,128222035,394,7333612.339137056,-0.15,132,213,47,⭐
22,深证100R,2802230765.8199997,42291375,100,28022307.658199996,-0.11,36,50,14,⭐
23,基金重仓,2710045227.5299997,30507238,100,27100452.275299996,-0.36,31,65,4,⭐
24,中盘成长,2688077332.44,80623850,228,11789812.861578947,-0.39,50,151,26,⭐
25,物联网,2568261037.28,123187278,365,7036331.608986302,-0.43,86,242,35,⭐
26,通信,2538513050.59,49664094,123,20638317.484471545,-0.94,23,96,4,⭐
27,西部大开发,2493622814.83,140608188,573,4351872.277190227,-0.07,188,285,99,⭐
28,长江三角,2397932061.0,176341820,410,5848614.7829268295,-0.12,108,206,96,⭐
29,光纤概念,2382098400.01,78554879,63,37811085.71444445,-1.09,14,47,2,⭐
30,数据中心,2283945166.73,77904171,187,12213610.517272728,-0.68,33,137,16,⭐
31,创业成份,2154384669.14,24742201,100,21543846.6914,-0.35,33,59,8,⭐
32,半导体概念,2152950619.2,53539355,271,7944467.229520295,-0.26,83,169,18,⭐
33,固态电池,2152440832.32,59223503,200,10762204.161600001,-0.1,84,91,25,⭐
34,锂电池概念,2112567068.32,70855844,278,7599162.116258993,-0.1,111,138,29,⭐
35,特斯拉概念,2057068757.81,53678235,194,10603447.205206186,-0.24,52,114,28,⭐
36,大数据,1983020210.1799998,100917731,286,6933637.098531468,-0.46,63,202,20,⭐
37,行业龙头,1962079541.0500002,43054315,96,20438328.55260417,-0.1,38,44,14,⭐
38,新能源车,1958395704.43,60255499,361,5424918.848836565,-0.3,94,226,41,⭐
39,周期股,1929110381.33,52205861,99,19485963.447777778,-0.07,32,44,23,⭐
40,小金属概念,1861481912.48,84127768,110,16922562.840727273,0.31,58,38,14,⭐
41,风能,1724340156.96,109244661,223,7732467.071569507,-0.16,84,104,35,⭐
42,上证180_,1688561623.0,73415149,179,9433305.15642458,-0.07,63,74,42,⭐
43,消费电子概念,1657501785.55,56938591,175,9471438.774571428,-0.37,43,113,19,⭐
44,军民融合,1631351317.68,69796253,171,9540066.185263159,-0.04,54,93,24,⭐
45,PCB,1610899542.8200002,47195607,132,12203784.415303031,-0.57,33,90,9,⭐
46,节能环保,1598824090.37,97306437,412,3880640.996043689,-0.18,125,210,74,⭐
47,人工智能,1575871381.8,76847100,272,5793644.7860294115,-0.43,67,169,32,⭐
48,最近多板,1555046655.98,106355170,177,8785574.32757062,0.1,67,85,23,⭐
49,新能源,1552844590.04,116739243,210,7394498.0478095235,-0.15,75,99,34,⭐
50,权重股,1543681331.8899999,25224416,50,30873626.637799997,-0.16,16,24,10,⭐
51,电网概念,1539362657.36,92915941,218,7061296.593394495,-0.34,65,131,20,⭐
52,有色金属,1521833899.3899999,46083894,138,11027781.879637681,0.1,64,62,11,⭐
53,无人机,1503002610.5,57988369,214,7023376.684579439,-0.15,58,125,30,⭐
54,液冷概念,1458072386.1,41138369,93,15678197.7,-1.32,15,72,6,⭐
55,国防军工,1409307295.1399999,45013833,137,10286914.563065693,0.11,59,67,10,⭐
56,小盘股,1378413219.0,83729662,395,3489653.718987342,-0.22,114,225,55,⭐
57,近期新高,1367753853.0,40973521,153,8939567.666666666,0.09,67,73,13,⭐
58,百日新高,1361550017.2,39797974,137,9938321.293430658,0.08,59,67,11,⭐
59,证金持股,1349079772.82,63648164,189,7137988.215978836,-0.12,45,91,53,⭐
60,央国企改革,1333960201.0,89179554,372,3585914.5188172045,-0.1,105,183,82,⭐
61,小米概念,1289872725.0500002,54754314,222,5810237.500225226,-0.5,40,156,26,⭐
62,智能电网,1241056077.3600001,77003280,187,6636663.515294119,-0.28,56,111,18,⭐
63,AI眼镜,1200223077.1799998,27047307,116,10346750.665344827,-0.52,27,80,7,⭐
64,人形机器人,1199511743.99,30184208,228,5261016.421008772,-0.31,62,148,18,⭐
65,电池,1182709432.92,27977270,94,12582015.243829789,0.02,52,33,9,⭐
66,卫星互联网,1172999396.97,32893489,86,13639527.871744186,-0.29,22,59,5,⭐
67,阿里概念,1167362181.0300002,42656142,162,7205939.389074075,-0.51,32,108,20,⭐
68,特高压,1155483628.0,55948097,85,13593925.035294117,-0.54,23,55,6,⭐
69,破增发价股,1144508514.17,143199862,601,1904340.2898003329,-0.16,141,317,139,⭐
70,工业互联,1107552485.97,43789513,192,5768502.53109375,-0.23,53,121,16,⭐
71,元宇宙概念,1101496246.73,62237240,142,7757015.822042254,-0.44,21,107,13,⭐
72,第三代半导体,1084108564.46,51412123,94,11533069.834680852,-0.33,28,59,7,⭐
73,锂矿概念,1059181202.72,34313219,37,28626518.992432434,0.48,27,8,2,⭐
74,低空经济,1057871119.79,30650572,183,5780716.501584699,-0.11,62,103,16,⭐
75,DeepSeek概念,1056348741.85,41572267,248,4259470.733266129,-0.34,43,173,31,⭐
76,百度概念,1020324398.98,52760640,146,6988523.280684931,-0.44,28,98,20,⭐
77,网络安全,997911553.4000001,35374094,131,7617645.445801527,-0.52,23,94,12,⭐
78,核能核电,981470183.95,60751868,186,5276721.419086021,-0.2,64,88,32,⭐
79,AIGC概念,953993239.72,58248125,109,8752231.55706422,-0.43,16,78,14,⭐
80,英伟达概念,945080901.74,13358671,59,16018320.368474577,-1.0,7,50,1,⭐
81,可控核聚变,942902174.9,35391756,75,12572028.998666666,-0.51,24,44,7,⭐
82,茅指数,941188996.1099999,12427628,42,22409261.812142856,-0.14,21,16,5,⭐
83,云计算,914508859.83,41386050,136,6724329.851691177,-0.63,18,110,8,⭐
84,钠离子电池,912422068.9200001,31882273,69,13223508.245217392,-0.14,33,31,5,⭐
85,区块链,910314457.5799999,54356012,197,4620885.57147208,-0.37,31,137,28,⭐
86,燃料电池概念,895088597.9,54191676,141,6348146.084397163,-0.16,43,79,19,⭐
87,量子科技,894244431.0,22235924,52,17197008.28846154,-0.51,12,35,5,⭐
88,F5G概念,888198268.4,14080868,25,35527930.736,-1.19,2,21,2,⭐
89,国产软件,879511306.4000001,59144193,223,3943996.8896860993,-0.41,42,164,16,⭐
90,LED概念,876320074.1,41101694,96,9128334.105208334,-0.32,26,57,13,⭐
91,北斗导航,864594249.9,32286712,70,12351346.427142857,-0.08,22,39,8,⭐
92,机器人概念,848832013.0,32886212,265,3203139.6716981134,-0.17,84,153,26,⭐
93,消费电子零部件及组装,846079244.78,19278621,79,10709863.857974684,-0.82,14,55,10,⭐
94,无线耳机,835430929.65,20969044,81,10313962.094444444,-0.25,21,48,12,⭐
95,鸿蒙概念,833748379.47,47785124,120,6947903.16225,-0.58,16,90,13,⭐
96,海工装备,828088204.3199999,34660259,72,11501225.059999999,-0.18,18,36,18,⭐
97,中特估,822920820.0,45565293,81,10159516.296296297,0.04,27,33,21,⭐
98,无线充电,818158162.98,23373203,40,20453954.074500002,-0.46,8,24,8,⭐
99,电子烟,814578478.1700001,24173014,51,15972127.022941178,-0.22,12,31,8,⭐
100,存储芯片,800496245.21,18655778,98,8168329.032755102,-0.31,29,64,5,⭐
101,虚拟现实,799645988.0,32312406,96,8329645.708333333,-0.53,15,67,12,⭐
102,股权激励,790832982.06,21554824,211,3748023.6116587673,-0.18,61,121,27,⭐
103,智慧城市,789262025.24,42918725,202,3907237.748712871,-0.43,46,139,12,⭐
104,大飞机,783915250.08,31301170,99,7918335.859393939,-0.0,39,55,5,⭐
105,动力电池回收,773723615.69,14684249,41,18871307.6997561,0.03,18,18,5,⭐
106,通信线缆及配套,767069894.0,22918115,11,69733626.72727273,-1.43,3,8,0,⭐
107,参股银行,766420455.4300001,68983838,228,3361493.225570176,-0.09,59,105,63,⭐
108,AI应用,761263168.55,34629257,196,3883995.757908163,-0.31,28,142,25,⭐
109,在线教育,758465759.28,47754405,111,6833024.858378378,-0.42,17,77,17,⭐
110,MiniLED,756335655.6,98364540,66,11459631.145454546,-0.16,15,43,8,⭐
111,养老金,735113006.0,24320496,197,3731538.1015228424,-0.19,63,110,24,⭐
112,独角兽,734179331.72,29105686,104,7059416.651153847,-0.12,27,63,14,⭐
113,AI智能体,730802600.98,59726326,135,5413352.599851852,-0.44,20,100,14,⭐
114,稀缺资源,720537369.9300001,35027708,78,9237658.588846155,-0.15,29,41,8,⭐
115,信创,719772675.8,29218282,89,8087333.435955056,-0.48,25,58,5,⭐
116,数字芯片设计,712009914.0,3783128,51,13960978.705882354,-0.53,9,39,2,⭐
117,6G概念,710296914.7,21209015,33,21524148.930303033,-0.66,8,24,1,⭐
118,铜缆高速连接,693148254.8199999,16357433,36,19254118.18944444,-1.01,5,29,2,⭐
119,毫米波概念,692156982.3,20559373,45,15381266.273333332,-0.36,12,30,3,⭐
120,海洋经济,681498606.8299999,35766875,96,7098943.821145833,-0.4,29,53,14,⭐
121,石墨烯,671344383.44,50239429,66,10171884.597575758,-0.31,17,39,10,⭐
122,蓝宝石,669057279.26,35592368,18,37169848.84777778,-0.66,3,14,1,⭐
123,雄安新区,668922691.22,49516951,147,4550494.498095239,-0.3,46,74,27,⭐
124,贬值受益,660744706.16,23518569,170,3886733.5656470587,-0.08,48,94,28,⭐
125,上证50_,655764137.0,23871070,50,13115282.74,-0.09,18,22,10,⭐
126,大盘价值,640091169.0,48300950,100,6400911.69,0.05,31,34,35,⭐
127,多模态AI,633274972.09,31604338,63,10051983.683968255,-0.12,17,41,5,⭐
128,碳纤维,627317208.0,26718885,39,16085056.615384616,0.11,14,18,7,⭐
129,历史新高,614161257.2,10174665,40,15354031.430000002,-0.22,15,21,4,⭐
130,AH股,608724802.0,28770975,100,6087248.02,-0.13,25,47,27,⭐
131,小金属,598026159.8,11198819,24,24917756.65833333,-0.14,10,14,0,⭐
132,超导概念,584508232.0,20102932,18,32472679.555555556,-0.31,8,10,0,⭐
133,光刻机(胶),577143521.13,14495858,92,6273299.142717391,-0.1,35,48,9,⭐
134,电商概念,573959394.03,56266906,291,1972369.0516494846,-0.03,81,147,63,⭐
135,MicroLED,570450679.0,32339669,32,17826583.71875,-0.34,6,21,5,⭐
136,通用设备,569706172.23,18235118,168,3391108.1680357144,-0.53,38,110,17,⭐
137,央视50_,566507037.6,17355929,50,11330140.752,-0.01,20,22,8,⭐
138,汽车,566110771.3100001,29858089,283,2000391.4180565374,-0.26,72,163,48,⭐
139,柔性屏(折叠屏),554773945.56,23563952,74,7496945.21027027,-0.65,11,57,6,⭐
140,军工电子Ⅱ,551668170.15,19814940,60,9194469.5025,0.0,22,34,3,⭐
141,水利建设,546685309.0,43893516,107,5109208.495327103,-0.3,30,65,12,⭐
142,上海自贸,539884858.0,22870275,34,15878966.411764706,-0.3,12,14,8,⭐
143,宁组合,537266407.29,6767408,24,22386100.303749997,0.08,14,7,3,⭐
144,先进封装,534773919.0,5513317,28,19099068.535714287,-0.3,9,16,3,⭐
145,航天航空,529879807.99,15488143,49,10813873.63244898,0.16,23,22,4,⭐
146,超级电容,527855698.35,39280648,31,17027603.172580644,-0.06,11,11,9,⭐
147,电子化学品Ⅲ,523307204.0,18813707,33,15857794.06060606,-0.2,13,14,6,⭐
148,参股新三板,521994442.03999996,32329266,104,5019177.327307692,-0.18,25,66,13,⭐
149,3D打印,517941308.26,15599512,69,7506395.771884058,-0.43,21,44,3,⭐
150,数字经济,515201796.12,32214809,177,2910744.610847458,-0.42,34,122,20,⭐
151,锂电池,514784303.32,7118738,27,19066085.30814815,-0.09,10,15,2,⭐
152,面板,511178173.0,105886804,38,13452057.184210526,0.01,9,25,4,⭐
153,轻工制造,507015075.32000005,40992353,160,3168844.2207500003,-0.01,49,83,28,⭐
154,ChatGPT概念,503876085.64,21279319,67,7520538.591641791,-0.31,9,50,8,⭐
155,工业母机,500012130.0,10385724,79,6329267.46835443,-0.27,21,49,7,⭐
156,电力,488257249.77,64073925,108,4520900.460833333,0.04,47,40,21,⭐
157,混合现实,486632160.78,18004844,30,16221072.025999999,-0.36,3,24,3,⭐
158,微利股,484966548.0,94097410,98,4948638.244897959,-0.29,21,58,18,⭐
159,氮化镓,479553854.66,13752115,46,10425083.796956522,-0.37,12,30,4,⭐
160,玻璃基板,476984756.36,23015836,34,14028963.422352942,-0.5,4,26,4,⭐
161,参股券商,463793051.77,33373462,127,3651913.7934645666,-0.01,33,60,34,⭐
162,乡村振兴,462854882.57,55231590,140,3306106.3040714287,-0.09,53,66,21,⭐
163,氢能源,460225929.0,30143047,91,5057427.791208792,-0.12,29,48,14,⭐
164,互联网服务,457858076.99,26665267,96,4769354.968645833,-0.48,19,69,7,⭐
165,能源金属,448986154.79999995,6712388,11,40816923.16363636,1.22,10,0,1,⭐
166,IT服务Ⅱ,445909543.4,32998816,120,3715912.8616666663,-0.55,20,90,9,⭐
167,IT服务Ⅲ,445909543.4,32998816,120,3715912.8616666663,-0.55,20,90,9,⭐
168,油气资源,443688279.56,49233667,145,3059919.16937931,-0.07,40,73,31,⭐
169,AIPC,442927654.36,9753843,42,10545896.532380953,-0.74,7,31,4,⭐
170,传媒,441288630.7199999,24158548,99,4457460.916363635,-0.25,18,70,9,⭐
171,安防概念,438248599.52,38477799,109,4020629.3533944953,-0.31,24,72,11,⭐
172,数字孪生,438225092.0,31274373,83,5279820.385542168,-0.22,21,55,6,⭐
173,航母概念,435265542.0,18073200,32,13602048.1875,0.1,15,13,4,⭐
174,新型工业化,433390913.4,13855809,97,4467947.560824742,-0.32,25,64,7,⭐
175,增强现实,431109344.0,27189642,44,9797939.636363637,-0.74,4,38,2,⭐
176,垂直应用软件,428211397.0,28007341,94,4555440.393617021,-0.33,17,67,9,⭐
177,数字货币,424754499.6,15662045,82,5179932.921951219,-0.42,14,61,7,⭐
178,碳化硅,417200875.0,24070477,42,9933354.166666666,-0.49,15,25,2,⭐
179,航天装备Ⅲ,413105170.0,8760214,9,45900574.44444445,0.53,6,2,1,⭐
180,湖北自贸,409165359.8,11712982,28,14613048.564285714,-0.27,6,16,5,⭐
181,PPP模式,403385215.64,54051586,145,2781967.004413793,-0.01,47,68,29,⭐
182,蚂蚁概念,397950862.0,14639342,61,6523784.622950819,-0.23,10,36,15,⭐
183,天然气,397595651.56,45050079,121,3285914.4757024795,-0.08,31,65,24,⭐
184,其他小金属,394557630.8,6930819,14,28182687.914285716,0.09,6,8,0,⭐
185,磁悬浮概念,394139898.0,15103184,29,13591030.965517242,0.01,12,12,5,⭐
186,数据要素,392731944.71000004,18959147,154,2550207.4331818186,-0.38,28,113,12,⭐
187,铁路基建,386264732.0,24509578,120,3218872.7666666666,-0.09,37,57,25,⭐
188,冷链物流,385946803.0,19730723,111,3476998.225225225,-0.22,26,61,24,⭐
189,3D玻璃,384225577.36,20883034,15,25615038.49066667,-0.23,3,11,1,⭐
190,其他专用设备,384018438.4,6975899,79,4860992.89113924,-0.4,23,42,11,⭐
191,AI芯片,377488200.37,10420858,38,9933900.009736842,-0.42,6,29,2,⭐
192,公用事业,376619573.69,51502753,94,4006591.209468085,-0.01,38,35,21,⭐
193,计算机设备,369389917.8,13913300,84,4397499.021428572,-0.32,15,58,9,⭐
194,HJT电池,368065839.7,48128841,39,9437585.633333333,0.2,18,13,7,⭐
195,黄金概念,367691030.09000003,36687206,71,5178746.902676057,-0.03,23,33,15,⭐
196,破净股,366043726.11,68527471,282,1298027.3975531915,-0.15,60,118,102,⭐
197,绿色电力,362651502.0,46747839,99,3663146.484848485,-0.0,42,37,20,⭐
198,基础化工,360760844.0,32909272,162,2226918.7901234566,-0.04,57,78,26,⭐
199,新消费,358162579.47,18575864,79,4533703.537594937,-0.19,13,47,18,⭐
200,中盘价值,356035335.25,22084808,122,2918322.420081967,-0.02,44,53,25,⭐
201,塑料,351000920.0,25358125,73,4808231.780821918,-0.17,23,37,12,⭐
202,荣耀概念,349769585.63,21257353,55,6359447.011454545,-0.63,9,42,4,⭐
203,传感器,346323313.0,11872180,89,3891273.179775281,-0.39,23,60,6,⭐
204,电网设备,345711862.0,15108132,87,3973699.563218391,-0.32,26,56,5,⭐
205,麒麟电池,343323458.0,2597200,8,42915432.25,-0.91,3,5,0,⭐
206,汽车芯片,341398936.0,12193880,69,4947810.666666667,-0.3,17,47,5,⭐
207,短剧互动游戏,338204948.71999997,19240235,35,9662998.534857143,-0.14,4,25,6,⭐
208,ETC,332868163.65,81228389,42,7925432.467857142,-0.3,7,30,4,⭐
209,抽水蓄能,329545197.0,16532544,37,8906626.945945946,-0.33,10,20,7,⭐
210,工业金属,328475725.8,22445689,58,5663374.582758621,0.08,23,29,6,⭐
211,网络游戏,326556128.15999997,15938880,67,4873972.062089552,-0.29,13,44,8,⭐
212,土壤修复,324002049.2,25749098,34,9529472.035294117,0.09,8,18,8,⭐
213,深圳特区,323967679.74,8204512,98,3305792.650408163,-0.24,30,53,13,⭐
214,并购重组概念,323912797.7,14727703,92,3520791.279347826,0.06,29,53,10,⭐
215,钙钛矿电池,323648923.0,40745837,43,7526719.139534884,0.19,18,17,7,⭐
