排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,燃料电池,0.0,0.0,1,0.0,-3.86,0,1,0,⭐,auto
2,模拟芯片设计,0.0,0.0,32,0.0,-3.89,23,6,3,⭐,auto
3,体育Ⅱ,0.0,0.0,2,0.0,3.36,1,1,0,⭐,auto
4,图片媒体,0.0,0.0,1,0.0,0.05,1,0,0,⭐,auto
5,集成电路制造,0.0,0.0,11,0.0,2.21,9,1,1,⭐,auto
6,个护小家电,0.0,0.0,3,0.0,-0.1,0,2,1,⭐,auto
7,数字芯片设计,0.0,0.0,51,0.0,0.61,45,3,3,⭐,auto
8,集成电路封测,0.0,0.0,12,0.0,4.11,11,1,0,⭐,auto
9,钨,0.0,0.0,4,0.0,1.89,3,0,1,⭐,auto
10,机器人,0.0,0.0,17,0.0,-10.8,12,4,1,⭐,auto
11,其他种植业,0.0,0.0,5,0.0,2.22,3,0,2,⭐,auto
12,航天装备Ⅲ,0.0,0.0,9,0.0,0.91,6,0,3,⭐,auto
13,娱乐用品,0.0,0.0,18,0.0,0.91,8,9,1,⭐,auto
14,其他自动化设备,0.0,0.0,27,0.0,-14.78,10,14,3,⭐,auto
15,自动化设备,0.0,0.0,81,0.0,-8.38,41,29,11,⭐,auto
16,工程机械器件,0.0,0.0,11,0.0,-1.03,7,2,2,⭐,auto
17,军工电子Ⅱ,0.0,0.0,66,0.0,-2.06,37,21,8,⭐,auto
18,分立器件,0.0,0.0,17,0.0,1.15,15,2,0,⭐,auto
19,其他家居用品,0.0,0.0,22,0.0,0.54,13,4,5,⭐,auto
20,航空装备Ⅲ,0.0,0.0,45,0.0,-4.38,21,14,10,⭐,auto
21,综合环境治理,0.0,0.0,17,0.0,0.74,12,2,3,⭐,auto
22,服装家纺,0.0,0.0,61,0.0,-1.34,32,18,11,⭐,auto
23,软饮料,0.0,0.0,7,0.0,1.18,3,1,3,⭐,auto
24,航空装备Ⅱ,0.0,0.0,45,0.0,-4.38,21,14,10,⭐,auto
25,家电零部件Ⅱ,0.0,0.0,35,0.0,-2.13,20,11,4,⭐,auto
26,瓷砖地板,0.0,0.0,12,0.0,0.43,6,2,4,⭐,auto
27,饮料乳品,0.0,0.0,26,0.0,0.55,11,5,10,⭐,auto
28,磨具磨料,0.0,0.0,11,0.0,0.44,4,4,3,⭐,auto
29,家电零部件Ⅲ,0.0,0.0,35,0.0,-2.13,20,11,4,⭐,auto
30,金属新材料,0.0,0.0,34,0.0,-5.42,20,11,3,⭐,auto
31,乳品,0.0,0.0,19,0.0,0.32,8,4,7,⭐,auto
32,水产养殖,0.0,0.0,4,0.0,0.03,2,1,1,⭐,auto
33,国防军工,0.0,0.0,141,0.0,-2.27,77,38,26,⭐,auto
34,跨境电商,0.0,0.0,7,0.0,1.88,5,0,2,⭐,auto
35,水泥制品,0.0,0.0,9,0.0,0.66,5,1,3,⭐,auto
36,房地产开发,0.0,0.0,83,0.0,0.83,38,28,17,⭐,auto
37,纸包装,0.0,0.0,15,0.0,0.88,8,3,4,⭐,auto
38,房屋建设Ⅱ,0.0,0.0,7,0.0,0.53,2,5,0,⭐,auto
39,冶钢辅料,0.0,0.0,3,0.0,0.11,2,0,1,⭐,auto
40,机床工具,0.0,0.0,16,0.0,0.34,7,7,2,⭐,auto
41,其他电子Ⅲ,0.0,0.0,31,0.0,-1.99,24,6,1,⭐,auto
42,其他电子Ⅱ,0.0,0.0,31,0.0,-1.99,24,6,1,⭐,auto
43,逆变器,0.0,0.0,11,0.0,-0.58,3,6,2,⭐,auto
44,培训教育,0.0,0.0,12,0.0,0.7,6,3,3,⭐,auto
45,其他黑色家电,0.0,0.0,5,0.0,-0.09,2,1,2,⭐,auto
46,检测服务,0.0,0.0,20,0.0,-9.68,10,7,3,⭐,auto
47,锦纶,0.0,0.0,5,0.0,0.28,3,0,2,⭐,auto
48,渔业,0.0,0.0,6,0.0,-0.05,2,2,2,⭐,auto
49,影视动漫制作,0.0,0.0,15,0.0,-6.18,7,8,0,⭐,auto
50,大气治理,0.0,0.0,6,0.0,-0.75,1,5,0,⭐,auto
51,其他专业服务,0.0,0.0,4,0.0,-0.21,1,3,0,⭐,auto
52,房地产,0.0,0.0,93,0.0,-0.3,43,31,19,⭐,auto
53,氨纶,0.0,0.0,1,0.0,0.34,1,0,0,⭐,auto
54,粘胶,0.0,0.0,2,0.0,-2.58,0,2,0,⭐,auto
55,胶黏剂及胶带,0.0,0.0,5,0.0,-0.45,1,1,3,⭐,auto
56,其他能源发电,0.0,0.0,2,0.0,0.41,1,0,1,⭐,auto
57,其他通用设备,0.0,0.0,50,0.0,-3.81,28,14,8,⭐,auto
58,期货,0.0,0.0,4,0.0,1.03,2,0,2,⭐,auto
59,影视院线,0.0,0.0,18,0.0,-5.4,7,11,0,⭐,auto
60,炼油化工,0.0,0.0,11,0.0,0.26,3,5,3,⭐,auto
61,航海装备Ⅲ,0.0,0.0,10,0.0,-0.0,6,3,1,⭐,auto
62,计算机设备,0.0,0.0,85,0.0,-1.17,58,20,7,⭐,auto
63,专业服务,0.0,0.0,30,0.0,-6.52,13,13,4,⭐,auto
64,其他计算机设备,0.0,0.0,60,0.0,-0.2,41,12,7,⭐,auto
65,电机Ⅲ,0.0,0.0,24,0.0,0.3,10,2,12,⭐,auto
66,其他专用设备,0.0,0.0,73,0.0,-1.15,39,21,13,⭐,auto
67,水产饲料,0.0,0.0,4,0.0,-0.01,2,1,1,⭐,auto
