排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
617,特种纸,11145266.0,1834950,12,928772.1666666666,7.856106258926436,,0.16,5,5,2,⭐,auto
618,铁路运输,11056486.0,2114600,7,1579498.0,12.975078458020025,4.604,0.16,5,2,0,⭐,auto
619,氮肥,11044866.0,2020800,6,1840811.0,10.716375094093491,15.774000000000001,-0.24,3,2,1,⭐,auto
620,其他橡胶制品,10973373.0,326400,9,1219263.6666666667,70.0740002139725,,0.38,7,2,0,⭐,auto
621,涤纶,10721968.0,1619900,10,1072196.8,10.037979760805108,,-0.36,3,5,2,⭐,auto
622,毛发医疗,10618069.66,1340498,18,589892.7588888889,12.470020184648137,4.542,0.07,5,9,4,⭐,auto
623,电信运营商,10530452.0,1209900,3,3510150.6666666665,40.91462723347488,,-0.02,0,1,2,⭐,auto
624,旅游及景区,10470709.93,1307127,24,436279.58041666663,13.556375513947602,9.76,0.09,10,5,8,⭐,auto
625,专业连锁Ⅲ,10211351.0,700100,7,1458764.4285714286,17.064339142783357,,-0.09,2,4,1,⭐,auto
626,专业连锁Ⅱ,10211351.0,700100,7,1458764.4285714286,17.064339142783357,,-0.09,2,4,1,⭐,auto
627,肝素概念,10051160.0,1127000,13,773166.1538461539,18.313434487163672,6.35,-0.11,2,8,3,⭐,auto
628,冰洗,9578921.0,1142390,7,1368417.2857142857,15.696882127396185,4.442,-0.02,2,3,2,⭐,auto
629,跨境物流,9518946.0,1378600,12,793245.5,7.591475375530021,,0.0,6,4,1,⭐,auto
630,纺织化学制品,9389551.68,909608,13,722273.2061538461,15.604560137295074,,0.39,9,1,2,⭐,auto
631,其他种植业,9170687.0,1455500,5,1834137.4,6.651589377109915,,-0.52,0,4,1,⭐,auto
632,其他农产品加工,8949762.0,742800,10,894976.2,13.866391517450408,,-0.04,4,5,1,⭐,auto
633,资产管理,8919574.0,848900,4,2229893.5,12.046448189117552,9.472,-0.22,0,3,1,⭐,auto
634,农商行Ⅲ,8768651.0,1561500,10,876865.1,6.101638234889267,,-0.1,1,5,4,⭐,auto
635,工程机械器件,8744098.0,146923,9,971566.4444444445,82.06832253709872,,0.07,5,3,1,⭐,auto
636,低碳冶金,8741554.0,2734144,8,1092694.25,4.779440303177215,,-0.1,2,3,3,⭐,auto
637,超跌股,8682800.0,5118700,6,1447133.3333333333,2.2072857327129496,,0.19,2,4,0,⭐,auto
638,复合肥,8674885.0,1365600,9,963876.1111111111,9.959086455901144,,0.3,6,3,0,⭐,auto
639,清洁小家电,8655892.4,404229,8,1081986.55,37.381805619949716,,-0.14,2,6,0,⭐,auto
640,粘胶,8604244.0,1725600,3,2868081.3333333335,6.036618064294783,5.351999999999999,-1.53,1,2,0,⭐,auto
641,水产饲料,8539455.0,437100,4,2134863.75,34.512398818191556,,-0.15,2,2,0,⭐,auto
642,橡胶助剂,8391632.0,341500,2,4195816.0,39.1623359937614,,-0.37,1,1,0,⭐,auto
643,动物保健Ⅱ,8300700.0,359990,10,830070.0,31.704753088293756,,0.27,5,2,3,⭐,auto
644,化妆品,8161948.66,429898,14,582996.3328571429,27.749837641370316,,-0.07,3,8,3,⭐,auto
645,预加工食品,7885339.0,314600,10,788533.9,45.994074465282964,,-0.53,2,7,1,⭐,auto
646,定制家居,7800139.0,415500,14,557152.7857142857,24.315073994194204,,-0.29,5,8,1,⭐,auto
647,摩托车,7643076.0,466400,8,955384.5,63.952958382201096,,-0.05,5,3,0,⭐,auto
648,文化用品,7280893.0,318600,5,1456178.6,32.026251610894434,,0.6,4,0,1,⭐,auto
649,重组蛋白,7220665.0,305404,16,451291.5625,34.91457034793886,31.833999999999996,-0.17,1,10,5,⭐,auto
650,可燃冰,7054834.0,914300,9,783870.4444444445,10.769812021090786,12.89,-0.29,2,7,0,⭐,auto
651,物业管理,6964626.08,3816508,7,994946.5828571429,4.573315657572244,1.638,-0.74,3,3,1,⭐,auto
652,铁矿石,6807563.0,350400,5,1361512.6,29.238265509992345,,-0.37,0,5,0,⭐,auto
653,油田服务,6776396.0,827100,6,1129399.3333333333,14.136126598858747,,0.78,3,2,1,⭐,auto
654,个护用品,6726016.0,628940,13,517385.8461538461,15.581368129365138,,-0.04,4,7,2,⭐,auto
