排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,12477244066.11,517487064,567,22005721.45698413,0.03,208,325,34,⭐
2,大盘股,9145253587.44,365409666,299,30586132.399464883,0.02,101,177,21,⭐
3,标准普尔,8524560841.309999,522650526,788,10817970.610799491,-0.12,265,445,78,⭐
4,HS300_,8086778408.76,298344463,299,27046081.63464883,0.0,98,181,20,⭐
5,百元股,7676648789.76,37322281,249,30829914.818313252,0.31,135,105,9,⭐
6,深成500,7558051069.22,268170093,499,15146394.928296594,0.01,174,272,53,⭐
7,富时罗素,6488640953.0,430018507,592,10960542.150337838,-0.17,189,360,42,⭐
8,电池技术,5836507603.1,233207104,558,10459691.04498208,0.02,212,296,50,⭐
9,华为概念,5542602015.59,262886935,721,7687381.43632455,0.02,275,367,74,⭐
10,中盘股,5326247505.79,241407032,496,10738402.229415322,-0.04,185,276,34,⭐
11,最近多板,5258931005.37,319639749,175,30051034.3164,1.56,120,45,10,⭐
12,大盘成长,5077238756.25,110850125,94,54013178.25797872,0.33,50,42,2,⭐
13,上证180_,4738752051.0,210920385,179,26473475.145251397,0.03,62,105,12,⭐
14,国产芯片,4614418572.05,66707126,292,15802803.328938358,0.1,133,141,18,⭐
15,中证500,4572225596.77,249226334,500,9144451.193540001,-0.17,168,290,42,⭐
16,近期新高,4520803361.58,144267624,155,29166473.30051613,0.8,75,75,5,⭐
17,百日新高,4450158607.639999,137249694,140,31786847.197428565,0.78,65,70,5,⭐
18,半导体概念,4333793388.0,80997151,275,15759248.683636364,0.17,133,130,12,⭐
19,基金重仓,3820146136.2599998,27055425,100,38201461.3626,0.42,50,40,10,⭐
20,通信技术,3575387010.2,76585676,288,12414538.22986111,0.36,153,116,19,⭐
21,西部大开发,3451287586.2799997,195074461,566,6097681.247844523,-0.08,190,302,69,⭐
22,中盘成长,3381715013.73,113652205,227,14897422.967973568,0.12,99,115,13,⭐
23,行业龙头,3352603144.3999996,96605427,96,34922949.42083333,0.13,36,49,11,⭐
24,算力概念,3347823950.07,111084974,187,17902801.872032087,-0.01,76,101,9,⭐
25,固态电池,3089202334.5,89896294,199,15523629.82160804,0.09,75,109,15,⭐
26,人工智能,3054400570.54,71156578,270,11312594.705703704,0.05,90,151,26,⭐
27,物联网,3024449099.56,112120455,361,8377975.345041551,-0.08,125,196,38,⭐
28,深证100R,2985015078.76,70050471,100,29850150.787600003,0.05,32,60,8,⭐
