排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,10988517073.87,326478652,565,19448702.78561062,-0.1,211,287,66,⭐
2,深成500,7916716496.91,246115445,498,15897021.07813253,-0.18,176,272,50,⭐
3,大盘股,7585725700.629999,179253775,297,25541163.975185182,-0.01,109,154,34,⭐
4,标准普尔,7366665464.91,397558655,795,9266245.86781132,-0.21,247,415,133,⭐
5,百元股,6470244859.690001,30663743,246,26301808.37272358,0.51,143,92,8,⭐
6,HS300_,6461231013.09,157273156,297,21754986.576060608,-0.04,105,159,33,⭐
7,华为概念,6419614356.86,248285167,732,8769964.968387978,-0.13,260,387,82,⭐
8,中盘股,5727163436.23,220556769,496,11546700.47627016,-0.16,188,258,49,⭐
9,富时罗素,5437400402.24,266362412,597,9107873.370586265,-0.21,181,306,110,⭐
10,中证500,5407024340.440001,240463883,499,10835720.121122245,-0.19,169,264,65,⭐
11,电池技术,4893729987.21,233176611,559,8754436.470858676,-0.36,178,321,58,⭐
12,国产芯片,4632848321.6,134235534,294,15757987.488435375,0.31,150,119,23,⭐
13,大盘成长,4567417110.83,50390107,93,49112011.9444086,0.23,46,39,8,⭐
14,算力概念,4100529679.65,128444480,188,21811328.08324468,-0.3,69,103,15,⭐
15,半导体概念,4096611476.54,93085509,275,14896769.0056,0.64,166,95,13,⭐
16,通信技术,4078290419.55,90296307,289,14111731.555536333,0.06,132,132,25,⭐
17,光通信模块,3944439876.13,70348568,83,47523372.00156627,0.44,44,32,7,⭐
18,长江三角,3595257543.78,291745833,409,8790360.742738387,-0.19,119,224,66,⭐
19,中盘成长,3560205564.13,86449814,227,15683724.952114537,-0.03,101,112,13,⭐
20,QFII重仓,3465540446.4,183110177,717,4833389.743933055,-0.11,257,385,73,⭐
21,CPO概念,3418725928.09,44141859,50,68374518.5618,1.2,36,11,3,⭐
22,西部大开发,3392420128.54,173829121,568,5972570.648838028,-0.35,154,343,70,⭐
23,上证180_,3285059888.0,96957281,178,18455392.629213482,0.0,56,98,24,⭐
24,基金重仓,3259228658.81,30457038,100,32592286.5881,0.12,51,42,6,⭐
25,光伏概念,3001987144.9700003,231124979,417,7199009.93997602,-0.3,125,244,47,⭐
26,商业航天,3001282381.65,126690513,282,10642845.325000001,-0.29,99,153,30,⭐
27,深证100R,2970780469.57,50885030,99,30007883.531010102,-0.0,43,48,8,⭐
28,百日新高,2858984565.7200003,118167512,138,20717279.461739134,0.15,69,63,5,⭐
29,权重股,2785488559.84,34292689,50,55709771.1968,0.2,17,31,2,⭐
30,近期新高,2686794040.58,123585586,153,17560745.363267973,0.13,73,74,5,⭐
31,人工智能,2601176755.76,119181006,271,9598438.213136531,-0.2,104,144,19,⭐
32,物联网,2545809890.94,107000284,363,7013250.388264463,-0.17,120,193,48,⭐
33,大数据,2529979481.91,121198682,286,8846082.10458042,-0.4,82,171,30,⭐
34,锂电池概念,2525515976.41,98826742,277,9117386.196425993,-0.33,94,156,26,⭐
35,固态电池,2488373818.7,78673626,199,12504391.048743717,-0.32,71,111,16,⭐
36,创业成份,2482348774.4500003,29826181,99,25074230.044949498,-0.2,37,57,5,⭐
37,最近多板,2399960291.0299997,186333603,173,13872602.838323697,-0.1,65,87,19,⭐
38,通信,2382725389.41,48899498,123,19371751.133414634,-0.05,47,61,15,⭐
39,周期股,2346624356.8500004,67199943,98,23945146.49846939,-0.25,36,51,11,⭐
40,证金持股,2322493741.62,124794248,189,12288326.675238095,-0.24,54,107,28,⭐
41,军工,2295615388.2599998,122198903,398,5767877.859949748,-0.39,123,237,36,⭐
42,DeepSeek概念,2195985923.62,70324153,247,8890631.269716598,-0.19,88,125,32,⭐
43,行业龙头,2195823924.83,46448765,94,23359828.98755319,-0.01,31,50,13,⭐
44,特斯拉概念,2192695506.98,55854063,192,11420289.098854167,-0.25,55,111,25,⭐
45,阿里概念,2188174675.13,100293279,162,13507251.081049383,-0.35,50,98,13,⭐
46,风能,2187031297.92,145499646,223,9807315.237309417,-0.56,55,147,20,⭐
47,数据中心,2131676380.7800002,86902331,188,11338704.153085107,-0.48,63,105,20,⭐
48,消费电子概念,2121697624.3500001,69803986,175,12123986.424857143,0.05,79,83,13,⭐
49,新能源,1984052593.58,188423597,209,9493074.610430622,-0.5,52,132,23,⭐
50,节能环保,1980532317.25,141112171,410,4830566.627439024,-0.14,141,219,47,⭐
51,存储芯片,1895209062.45,25270436,98,19338867.984183673,0.73,66,28,4,⭐
52,上证50_,1871296351.0,32887411,49,38189721.448979594,0.06,13,31,5,⭐
53,光纤概念,1852668859.49,52542700,63,29407442.214126986,-0.11,28,28,7,⭐
54,小盘股,1818189998.0,116469410,393,4626437.65394402,-0.23,134,196,62,⭐
55,云计算,1814670390.2,57191128,135,13442002.89037037,-0.09,45,76,13,⭐
56,小金属概念,1766214391.6399999,77424390,110,16056494.469454544,-0.06,35,67,8,⭐
57,新能源车,1744440374.45,53517333,360,4845667.706805556,-0.24,120,192,45,⭐
58,央国企改革,1729057319.0,129305206,371,4660531.857142857,-0.2,104,208,56,⭐
59,数字芯片设计,1724538288.51,10837550,51,33814476.24529412,1.24,39,11,1,⭐
60,PCB,1684224691.2400002,48207282,131,12856677.032366414,0.24,64,55,12,⭐
61,贬值受益,1647001290.7199998,36071925,168,9803579.11142857,-0.59,51,103,13,⭐
62,有色金属,1622828468.1,53823599,138,11759626.580434782,-0.35,38,91,8,⭐
63,电网概念,1554389509.03,74841426,217,7163085.295069125,-0.48,58,134,23,⭐
64,小米概念,1487064362.23,69613601,220,6759383.464681818,0.08,86,102,32,⭐
65,破增发价股,1481809442.88,165616576,597,2482092.8691457286,-0.35,143,352,99,⭐
66,股权激励,1456269047.71,61756921,211,6901749.041279621,-0.11,81,104,25,⭐
67,工业互联,1426864172.84,60239708,192,7431584.2335416665,-0.18,61,99,31,⭐
68,百度概念,1405368930.31,66215439,146,9625814.591164384,-0.29,46,84,15,⭐
69,独角兽,1385187875.55,86438494,104,13319114.18798077,-0.35,34,58,12,⭐
70,锂矿概念,1382155175.53,41871741,37,37355545.284594595,-0.22,16,18,3,⭐
71,电商概念,1354342034.65,121119241,291,4654096.339003437,0.09,92,154,45,⭐
72,军民融合,1353619936.23,78115841,173,7824392.694971099,-0.44,52,100,21,⭐
73,液冷概念,1323651692.65,30128749,92,14387518.398369566,0.17,42,40,10,⭐
74,电池,1319392324.1299999,35974479,94,14036088.554574467,-0.48,30,59,5,⭐
75,机器人概念,1318127384.85,43376269,265,4974065.603207547,-0.17,103,126,32,⭐
76,AI眼镜,1297540882.8400002,43223080,116,11185697.26586207,0.2,58,47,11,⭐
77,网络安全,1294217642.65,47567115,131,9879523.989694657,-0.2,44,78,7,⭐
78,茅指数,1259247932.72,14936325,42,29982093.636190478,0.1,17,23,2,⭐
79,区块链,1239794390.37,89071735,198,6261587.830151514,-0.28,55,121,21,⭐
80,AI芯片,1232256376.0,10774813,38,32427799.36842105,0.92,23,12,2,⭐
81,第三代半导体,1218645333.26,53053600,95,12827845.613263158,0.03,43,48,4,⭐
82,智慧城市,1173057990.71,64095637,203,5778610.791674877,-0.4,65,116,21,⭐
83,历史新高,1164210080.75,20199109,41,28395367.823170733,0.74,24,17,0,⭐
84,AH股,1139818515.0,39497705,100,11398185.15,-0.1,28,54,18,⭐
85,无线耳机,1105088691.96,22777240,81,13643070.271111112,-0.01,38,38,5,⭐
86,LED概念,1100337837.49,43769689,96,11461852.473854167,0.17,41,43,12,⭐
87,钠离子电池,1098617465.44,44317628,69,15921992.252753625,-0.59,21,45,3,⭐
88,信创,1083685809.5,17087076,88,12314611.471590908,-0.14,38,45,3,⭐
89,特高压,1080799607.82,44071007,85,12715289.503764706,-0.26,25,53,6,⭐
90,AI应用,1078371867.91,60425332,194,5558617.875824743,-0.44,61,120,13,⭐
91,智能电网,1067025587.0500001,55555315,187,5706019.182085562,-0.42,48,118,19,⭐
92,F5G概念,1063979851.5,13637849,25,42559194.06,0.25,7,12,6,⭐
93,低空经济,1056821649.6400001,50108961,183,5774981.692021859,-0.57,55,105,23,⭐
94,无人机,1044299279.8599999,44627805,215,4857205.952837209,-0.48,57,132,24,⭐
95,卫星互联网,1027991705.32,31772925,88,11681723.924090909,-0.43,26,54,7,⭐
96,英伟达概念,1021270402.01,26165022,59,17309667.830677968,0.06,29,27,3,⭐
97,人形机器人,985081579.75,34995808,227,4339566.43061674,-0.29,75,132,19,⭐
98,量子科技,975145320.96,26290915,52,18752794.633846156,0.05,24,21,6,⭐
99,央视50_,961909692.95,24105982,50,19238193.859,0.04,15,32,3,⭐
100,参股银行,956031252.16,85201407,228,4193119.5270175436,-0.27,56,131,41,⭐
101,6G概念,950719644.0600001,22255410,34,27962342.472352944,-0.18,12,18,4,⭐
102,稀缺资源,950698862.8,45748428,77,12346738.477922078,-0.53,19,50,8,⭐
103,AIPC,947730479.0,16723916,42,22565011.404761903,0.19,21,17,4,⭐
104,大盘价值,947004328.6,72411411,100,9470043.286,-0.34,24,57,19,⭐
105,国防军工,946598639.61,27596423,139,6810062.155467626,-0.5,47,81,10,⭐
106,先进封装,913805218.0,8826255,30,30460173.933333334,0.87,21,9,0,⭐
107,消费电子零部件及组装,886600683.7600001,18170951,79,11222793.465316458,0.04,29,36,14,⭐
108,海工装备,869464238.24,36712772,72,12075892.197777778,-0.3,21,43,8,⭐
109,鸿蒙概念,860335545.44,34402592,120,7169462.878666667,-0.59,31,67,21,⭐
110,网络游戏,855995200.81,68570312,67,12776047.77328358,-0.16,16,44,7,⭐
111,毫米波概念,845887470.72,16468204,45,18797499.349333335,-0.32,17,22,6,⭐
112,动力电池回收,841579117.8,28893512,41,20526319.946341462,-0.5,14,25,2,⭐
113,数字经济,839919004.9300001,68194539,177,4745305.112598871,-0.36,55,98,23,⭐
114,MiniLED,838439534.79,39240625,66,12703629.315,-0.01,25,35,6,⭐
115,参股券商,836814548.04,66290795,127,6589090.929448819,-0.15,41,62,24,⭐
116,无线充电,830302268.56,19364672,40,20757556.713999998,-0.12,14,25,1,⭐
117,元宇宙概念,827655002.1800001,65792517,142,5828556.353380282,-0.2,40,88,13,⭐
118,中特估,820602537.33,51521038,81,10130895.522592593,-0.19,17,47,17,⭐
119,汽车芯片,819551956.49,30702613,69,11877564.586811595,0.6,43,21,5,⭐
120,电力,817192227.5,124556676,108,7566594.699074074,-0.93,12,89,7,⭐
121,宁组合,807688571.8399999,13368272,24,33653690.49333333,0.31,11,13,0,⭐
122,并购重组概念,806202709.5999999,51660354,93,8668846.339784944,-0.32,26,59,8,⭐
123,参股新三板,801223141.6400001,56021459,103,7778865.452815535,-0.45,31,62,10,⭐
124,养老金,768675154.6199999,26675537,196,3921812.0133673465,-0.22,70,104,22,⭐
125,国产软件,764070825.8,39085890,223,3426326.57309417,-0.34,68,130,24,⭐
126,公用事业,758726253.5,112743676,94,8071555.888297873,-0.81,12,75,7,⭐
127,光刻机(胶),755522754.8,17999396,92,8212203.856521739,0.12,45,38,8,⭐
