排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,7311055803.799999,232963727,568,12871577.119366195,-0.41,109,385,74,⭐
2,深成500,5306370206.91,160277763,500,10612740.41382,-0.42,93,363,44,⭐
3,大盘股,5128568191.99,142629557,299,17152401.979899663,-0.36,64,188,47,⭐
4,标准普尔,5059512790.79,313709497,798,6340241.5924686715,-0.33,139,556,103,⭐
5,华为概念,4839507992.190001,198737461,732,6611349.716106558,-0.38,133,534,64,⭐
6,电池技术,4538176257.059999,196401562,560,8103886.173321428,-0.25,139,380,41,⭐
7,HS300_,4341317537.91,134859825,299,14519456.648528427,-0.29,63,185,51,⭐
8,富时罗素,4291780002.3199997,198856186,598,7176889.6359866215,-0.29,108,401,89,⭐
9,百元股,3844202432.67,18969407,247,15563572.601902835,-0.47,69,173,4,⭐
10,商业航天,3676578380.5400004,195843944,281,13083908.827544486,-0.78,30,228,23,⭐
11,中证500,3557891124.1,163073704,500,7115782.2482,-0.39,96,352,52,⭐
12,中盘股,3503481996.24,148891750,497,7049259.549778672,-0.38,97,355,43,⭐
13,通信技术,3300308539.43,134825650,289,11419752.731591694,-0.56,61,211,16,⭐
14,QFII重仓,3172100639.79,163061082,720,4405695.333041667,-0.35,161,486,72,⭐
15,光伏概念,3030107450.63,212362090,418,7249060.886674642,-0.48,77,310,30,⭐
16,大盘成长,2761427386.02,29997458,94,29376887.08531915,-0.54,18,72,4,⭐
17,军工,2724023033.6600003,166168857,398,6844278.979045227,-0.68,59,315,23,⭐
18,固态电池,2666022733.5299997,72966357,200,13330113.66765,-0.13,64,123,13,⭐
19,国产芯片,2631119348.73,114130029,294,8949385.53989796,-0.42,62,214,16,⭐
20,光通信模块,2503155740.5699997,58235169,82,30526289.519146338,-0.33,22,57,3,⭐
21,西部大开发,2424663742.87,152306662,574,4224152.862142857,-0.46,103,408,61,⭐
22,周期股,2348872643.29,56998474,99,23725986.295858584,-0.28,26,61,12,⭐
23,锂电池概念,2339363620.38,78670125,278,8414977.051726619,-0.16,74,185,19,⭐
24,算力概念,2304284192.86,159936602,189,12191979.856402118,-0.41,37,141,9,⭐
25,行业龙头,2279460473.7799997,50716968,96,23744379.93520833,-0.38,22,57,17,⭐
26,深证100R,2270143820.1499996,30090864,100,22701438.201499995,-0.3,22,67,11,⭐
27,特斯拉概念,2248616518.35,46653128,194,11590806.795618556,-0.41,31,138,25,⭐
28,小金属概念,2166200881.44,90796674,110,19692735.285818182,-0.58,22,83,5,⭐
29,中盘成长,2154732671.83,60903550,228,9450581.893991228,-0.43,49,164,14,⭐
30,新能源车,2056587797.6499999,61662411,363,5665531.1230027545,-0.37,76,251,35,⭐
31,有色金属,2037925455.53,73807464,138,14767575.764710145,-0.75,15,111,11,⭐
32,创业成份,1996519129.8000002,23927597,100,19965191.298,-0.46,23,72,5,⭐
33,长江三角,1985256149.08,154474224,411,4830306.932068126,-0.17,74,274,62,⭐
34,新能源,1940566754.77,171288430,209,9285008.396028709,-0.61,33,161,15,⭐
35,电池,1932990148.55,45885093,94,20563724.984574467,-0.1,31,58,5,⭐
36,军民融合,1897768619.9799998,125923761,173,10969760.809132947,-0.87,20,137,16,⭐
37,基金重仓,1879247842.9699998,19704750,100,18792478.4297,-0.45,25,72,3,⭐
38,权重股,1871269816.25,33396484,50,37425396.325,-0.27,9,30,11,⭐
39,数据中心,1869825401.67,89301909,187,9999066.31909091,-0.6,26,142,18,⭐
40,央国企改革,1840141041.0,124067588,372,4946615.701612903,-0.33,67,247,57,⭐
41,上证180_,1818128282.0,91016011,179,10157141.240223464,-0.24,41,100,38,⭐
42,钠离子电池,1775642900.3400002,52979518,69,25733955.077391308,0.49,32,33,4,⭐
43,节能环保,1770543537.93,122038097,412,4297435.771674758,-0.3,84,282,45,⭐
44,物联网,1714374724.34,102242473,365,4696917.0529863015,-0.42,61,266,35,⭐
45,CPO概念,1708670184.9,27097838,49,34870820.1,-0.48,13,35,1,⭐
46,半导体概念,1679126548.85,37303762,274,6128199.0833941605,-0.5,63,191,18,⭐
