排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,10750559406.29,386837220,569,18893777.515448157,-0.46,128,388,53,⭐,auto
2,华为概念,7432699929.009999,350483518,732,10153961.651653005,-0.32,202,457,73,⭐,auto
3,深成500,7328125794.08,210158617,500,14656251.58816,-0.48,97,355,48,⭐,auto
4,大盘股,7071354480.67,271120291,300,23571181.602233335,-0.44,68,192,40,⭐,auto
5,标准普尔,6822945812.37,441751217,799,8539356.461038798,-0.21,216,458,124,⭐,auto
6,百元股,6524070357.43,29592856,249,26201085.772811245,-1.12,49,188,11,⭐,auto
7,中证500,5539286901.79,261106136,500,11078573.80358,-0.4,108,344,48,⭐,auto
8,HS300_,5461779723.74,187588501,300,18205932.412466668,-0.36,77,185,38,⭐,auto
9,中盘股,5379520953.98,170237492,497,10823985.822897384,-0.52,108,356,33,⭐,auto
10,富时罗素,4958147199.47,276735441,599,8277374.289599333,-0.27,158,347,94,⭐,auto
11,电池技术,4570096748.26,176060030,559,8175486.132844365,-0.42,123,386,49,⭐,auto
12,通信技术,4432300517.71,98231959,290,15283794.888655173,-0.79,50,226,12,⭐,auto
13,国产芯片,4345734621.13,80255443,294,14781410.275952382,-1.11,25,253,16,⭐,auto
14,QFII重仓,4299449276.55,230777201,721,5963175.140846048,-0.18,262,380,77,⭐,auto
15,大盘成长,4183990907.1599994,52299132,94,44510541.56553191,-0.96,7,79,8,⭐,auto
16,中盘成长,3788829354.86,81983888,228,16617672.609035088,-0.83,42,180,6,⭐,auto
17,算力概念,3757067894.5299997,159730547,189,19878666.108624335,-0.41,50,126,13,⭐,auto
18,半导体概念,3741322167.01,62654436,276,13555515.09786232,-1.07,31,233,12,⭐,auto
19,光通信模块,3603643421.5,61722001,83,43417390.62048193,-1.19,10,73,0,⭐,auto
20,大数据,3510838081.34,189303794,287,12232885.300836237,0.02,115,144,27,⭐,auto
21,最近多板,3230428575.8799996,268321402,177,18251008.903276835,-0.27,58,109,10,⭐,auto
22,光伏概念,3193765653.87,236042189,417,7658910.440935251,-0.41,65,301,51,⭐,auto
23,物联网,3155521734.5,142724890,364,8669015.754120879,-0.36,92,229,42,⭐,auto
24,基金重仓,3128965722.74,27610037,100,31289657.227399997,-0.79,26,71,3,⭐,auto
25,长江三角,3121063187.98,240464235,406,7687347.75364532,-0.26,106,214,86,⭐,auto
26,CPO概念,3079289864.18,41461659,50,61585797.283599995,-1.5,5,45,0,⭐,auto
27,上证180_,2926403832.0,140796761,180,16257799.066666666,-0.31,50,101,29,⭐,auto
28,数据中心,2819798680.93,92285239,189,14919569.740370369,-0.52,44,131,14,⭐,auto
29,百日新高,2749975702.3199997,77238282,139,19783997.858417265,-0.5,42,91,6,⭐,auto
30,商业航天,2732658168.96,139257465,282,9690277.194893617,-0.68,45,215,21,⭐,auto
31,西部大开发,2693302571.29,179794719,573,4700353.527556719,-0.17,178,299,93,⭐,auto
32,近期新高,2676472401.7200003,80014155,154,17379690.92025974,-0.42,47,101,6,⭐,auto
33,锂电池概念,2670038027.8,129487718,280,9535850.099285714,-0.54,54,203,23,⭐,auto
34,创业成份,2634981214.7599998,35901331,100,26349812.1476,-0.77,16,76,8,⭐,auto
35,存储芯片,2628791423.79,46431353,98,26824402.28357143,-1.38,12,85,1,⭐,auto
36,通信,2604346014.31,75064940,123,21173544.831788618,-0.61,18,94,10,⭐,auto
37,行业龙头,2458717346.49,53072711,96,25611639.025937498,-0.36,26,52,18,⭐,auto
38,军工,2420324364.85,124814022,397,6096534.924055415,-0.44,87,276,34,⭐,auto
39,光纤概念,2409318692.5499997,115129566,63,38243153.849999994,-1.22,8,54,1,⭐,auto
40,深证100R,2368904468.54,34789529,100,23689044.685399998,-0.45,22,68,10,⭐,auto
41,风能,2249631160.65,180050644,223,10088032.110538118,-0.34,44,159,20,⭐,auto
42,人工智能,2248694572.67,59284160,272,8267259.458345588,-0.11,108,139,24,⭐,auto
43,新能源,2210637780.44,238762466,209,10577214.260478469,-0.34,35,151,23,⭐,auto
44,阿里概念,2015563166.6399999,85183967,162,12441747.94222222,-0.02,55,93,14,⭐,auto
45,消费电子概念,1973980949.04,52130073,175,11279891.137371428,-0.71,25,144,6,⭐,auto
46,节能环保,1947783170.19,169611597,411,4739131.800948905,-0.23,123,232,56,⭐,auto
47,PCB,1945645695.57,41948005,133,14628915.004285714,-0.86,18,111,4,⭐,auto
48,DeepSeek概念,1937822990.1399999,98687635,248,7813802.379596774,-0.21,83,135,30,⭐,auto
49,特斯拉概念,1930539665.24,45786855,195,9900203.411487179,-0.41,36,142,17,⭐,auto
50,周期股,1928177452.37,56163917,100,19281774.5237,-0.5,17,76,7,⭐,auto
51,小米概念,1917247319.5900002,68000918,222,8636249.187342344,-0.44,48,159,15,⭐,auto
52,新能源车,1903910238.6399999,53167871,364,5230522.6336263735,-0.29,97,236,29,⭐,auto
