排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
269,次新股,550999549.62,6699000.0,55,10018173.629454546,1.2,50,4,1,⭐,auto
270,集成电路制造,547717888.0,6676500.0,8,68464736.0,2.66,8,0,0,⭐,auto
271,尾气治理,547262314.72,36431900.0,27,20268974.61925926,0.2,18,9,0,⭐,auto
272,机器人执行器,532126199.37,13451800.0,29,18349179.288620688,0.69,25,3,1,⭐,auto
273,其他电子Ⅱ,531506263.0,10918000.0,35,15185893.228571428,1.5,31,4,0,⭐,auto
274,其他电子Ⅲ,531506263.0,10918000.0,35,15185893.228571428,1.5,31,4,0,⭐,auto
275,工业气体,531298851.82,32019600.0,34,15626436.818235293,0.66,25,8,1,⭐,auto
276,页岩气,530963000.86,55751300.0,36,14748972.246111112,-0.21,18,14,4,⭐,auto
277,汽车整车,517833134.03999996,19553500.0,25,20713325.361599997,0.26,18,4,3,⭐,auto
278,集成电路封测,515553163.0,12889800.0,12,42962763.583333336,3.43,12,0,0,⭐,auto
279,多模态AI,505144748.03999996,17050000.0,58,8709392.207586206,1.48,55,3,0,⭐,auto
280,超导概念,493103616.0,12173300.0,27,18263096.888888888,0.53,25,2,0,⭐,auto
281,荣耀概念,491138895.99,35502000.0,58,8467911.999827586,1.14,49,8,1,⭐,auto
282,冷链物流,475607171.39000005,37010100.0,111,4284749.291801802,0.2,76,29,6,⭐,auto
283,减速器,473272265.0,38665900.0,65,7281111.769230769,0.54,54,10,1,⭐,auto
284,其他电源设备Ⅱ,472198666.46000004,36578300.0,28,16864238.087857146,0.99,25,2,1,⭐,auto
285,CRO,465347384.6700001,11476700.0,34,13686687.784411767,-0.02,21,11,2,⭐,auto
286,分立器件,463870271.0,3323500.0,20,23193513.55,1.26,18,2,0,⭐,auto
287,单抗概念,457807688.23,29402400.0,45,10173504.18288889,-0.18,22,22,1,⭐,auto
288,复合集流体,454684510.4,16892500.0,24,18945187.933333334,1.37,22,2,0,⭐,auto
289,传媒,454019057.93,38134700.0,95,4779147.9782105265,0.71,80,12,3,⭐,auto
290,其他小金属,453624906.05,6821500.0,12,37802075.50416667,1.65,11,1,0,⭐,auto
291,能源及重型设备,451652814.42,32611900.0,53,8521751.215471698,-1.67,35,14,4,⭐,auto
292,体外诊断概念,450574390.71,28241500.0,70,6436777.010142857,-0.07,45,21,4,⭐,auto
293,生物识别,450329359.06,16215800.0,47,9581475.72468085,1.22,44,3,0,⭐,auto
294,医疗研发外包,449124517.66999996,10247200.0,25,17964980.7068,-0.17,13,11,1,⭐,auto
295,超级电容,444829369.9,19930000.0,32,13900917.809375,-2.1,25,5,2,⭐,auto
296,旅游概念,442585116.5899999,83777800.0,54,8196020.677592591,-0.14,18,33,3,⭐,auto
297,装配建筑,437037992.91999996,72387000.0,82,5329731.620975609,0.46,64,10,8,⭐,auto
298,模拟芯片设计,436542177.0,6620600.0,38,11487952.02631579,1.5,35,3,0,⭐,auto
299,抽水蓄能,436171757.0,36650000.0,27,16154509.518518519,0.78,22,3,2,⭐,auto
300,乘用车,435515953.0,7050600.0,8,54439494.125,-0.27,4,3,1,⭐,auto
301,风电设备,428338717.77000004,13291400.0,39,10983044.045384616,0.38,29,6,4,⭐,auto
302,空气能热泵,426085013.46000004,13600300.0,36,11835694.818333335,0.42,28,8,0,⭐,auto
303,数字孪生,415395454.07000005,30575400.0,76,5465729.65881579,1.15,66,6,4,⭐,auto
304,上海自贸,411990597.0,12416100.0,40,10299764.925,0.37,26,12,2,⭐,auto
305,超超临界发电,411422519.30999994,65190000.0,47,8753670.62361702,0.4,30,11,6,⭐,auto
306,电动乘用车,408768115.0,4206200.0,2,204384057.5,-1.44,0,2,0,⭐,auto
307,华为昇腾,407109600.15999997,17721800.0,45,9046880.003555555,1.44,43,1,1,⭐,auto
308,白色家电,404520824.86,30149700.0,7,57788689.26571429,-1.03,0,6,1,⭐,auto
309,零售概念,404067298.92,26217000.0,66,6122231.801818182,0.17,43,17,6,⭐,auto
310,肝炎概念,402540679.03999996,18998200.0,52,7741166.904615384,-1.79,31,20,1,⭐,auto
311,通信线缆及配套,399976611.0,8690000.0,11,36361510.09090909,1.85,11,0,0,⭐,auto
312,塑料,389755675.8,18476400.0,78,4996867.638461539,0.59,59,17,2,⭐,auto
313,彩票概念,389678411.26,27586200.0,14,27834172.23285714,0.06,9,5,0,⭐,auto
314,旅游酒店,389327699.56,24064500.0,41,9495797.550243903,-0.8,7,31,3,⭐,auto
315,电子竞技,385935041.65,56193400.0,29,13308104.884482758,0.82,23,5,1,⭐,auto
316,综合Ⅱ,382540701.5,30937300.0,19,20133721.13157895,0.54,10,7,2,⭐,auto
317,综合Ⅲ,382540701.5,30937300.0,19,20133721.13157895,0.54,10,7,2,⭐,auto
318,土地流转,380380252.27,80393900.0,58,6558280.211551724,0.23,30,22,6,⭐,auto
319,建筑材料,378875465.84,28191500.0,62,6110894.610322581,0.33,42,15,5,⭐,auto
320,雅下水电概念,378689878.85999995,52030700.0,40,9467246.971499998,0.95,33,5,2,⭐,auto
321,其他专用设备,376588458.34,10120500.0,89,4231330.9925842695,0.67,75,12,2,⭐,auto
322,军工电子Ⅱ,376162392.11,14972800.0,53,7097403.624716981,1.29,53,0,0,⭐,auto
323,氦气概念,376047093.0,17376700.0,20,18802354.65,0.66,17,3,0,⭐,auto
324,火力发电,375046489.28,55701600.0,28,13394517.474285712,1.08,22,3,3,⭐,auto
325,电机Ⅱ,367721614.67,21653400.0,23,15987896.290000001,0.33,18,4,1,⭐,auto
326,电机Ⅲ,367721614.67,21653400.0,23,15987896.290000001,0.33,18,4,1,⭐,auto
327,燃气Ⅱ,366164947.22999996,25058000.0,31,11811772.491290322,-0.38,13,15,3,⭐,auto
328,煤炭,364476223.99,30752300.0,33,11044734.06030303,-1.15,3,28,2,⭐,auto
329,炼油化工,363802978.96,44023400.0,13,27984844.535384614,-0.55,5,8,0,⭐,auto
330,通信服务,362258559.88,18848500.0,37,9790771.888648648,1.65,31,6,0,⭐,auto
331,垂直应用软件,361604748.19,20584800.0,96,3766716.1269791666,0.39,88,7,1,⭐,auto
332,广告营销,359169000.84,37110200.0,35,10261971.452571427,0.67,31,4,0,⭐,auto
333,东北振兴,359096194.83,27076800.0,66,5440851.436818182,0.13,45,17,4,⭐,auto
334,净水概念,354686453.92,12741100.0,25,14187458.1568,0.11,18,7,0,⭐,auto
335,化债(AMC)概念,353735868.1,47976300.0,60,5895597.801666667,-0.0,42,11,7,⭐,auto
336,生物疫苗,353394428.75,21702600.0,57,6199902.25877193,-1.7,35,20,2,⭐,auto
337,减肥药,352562144.96000004,14788100.0,34,10369474.851764707,0.44,19,14,1,⭐,auto
338,中俄贸易概念,350481964.96,36322600.0,80,4381024.562,0.45,59,16,5,⭐,auto
339,稀土,347394085.0,5802500.0,4,86848521.25,-0.12,1,3,0,⭐,auto
340,多元金融,347038726.25,63729900.0,29,11966852.629310345,-3.53,19,9,1,⭐,auto
341,环保设备Ⅱ,346194577.69,28103700.0,23,15051938.160434783,0.4,17,5,1,⭐,auto
342,通用航空,345441268.0,27863600.0,32,10795039.625,0.55,27,4,1,⭐,auto
343,其他自动化设备,344344975.13,5462200.0,22,15652044.32409091,0.57,16,6,0,⭐,auto
344,煤炭开采,344313761.99,25999200.0,27,12752361.555185186,-1.35,1,24,2,⭐,auto
345,碳纤维,343824930.62,26513600.0,48,7163019.387916666,0.5,39,7,2,⭐,auto
346,换电概念,341316923.71000004,22828500.0,38,8982024.308157897,0.01,32,5,1,⭐,auto
347,虚拟机器人,339804129.1,16933500.0,17,19988478.18235294,-0.31,13,4,0,⭐,auto
348,专业工程,339421845.0,47112300.0,37,9173563.378378378,-2.16,26,9,2,⭐,auto
349,PVDF概念,338338486.64,10682200.0,16,21146155.415,1.35,14,2,0,⭐,auto
350,资源开采概念,337842731.44,36478300.0,19,17781196.391578946,-1.01,5,14,0,⭐,auto
351,猪肉概念,336670607.55,35216500.0,47,7163204.415957447,-0.06,26,20,1,⭐,auto
352,服装家纺,334542796.73,49286200.0,75,4460570.623066667,-0.15,40,30,5,⭐,auto
353,Kimi概念,333533722.64,8443700.0,20,16676686.132,-0.09,18,2,0,⭐,auto
354,股份制银行Ⅲ,325891924.0,32574900.0,10,32589192.4,0.01,5,2,3,⭐,auto
355,智谱AI概念,324193288.54999995,16313300.0,37,8761980.77162162,1.04,35,2,0,⭐,auto
356,机器视觉,322683355.21999997,11470100.0,77,4190692.9249350647,0.98,71,5,1,⭐,auto
357,影视概念,322552516.94,36604300.0,51,6324559.155686274,-1.35,36,14,1,⭐,auto
358,IPv6,316094778.39,31719800.0,10,31609477.838999998,1.12,9,1,0,⭐,auto
359,显示技术,315461124.83,38297800.0,43,7336305.228604651,1.07,40,3,0,⭐,auto
360,风电零部件,314172829.17,8651000.0,35,8976366.547714286,0.36,25,6,4,⭐,auto
361,面板,313690177.23,60289800.0,40,7842254.43075,1.1,36,3,1,⭐,auto
362,国资云概念,310703140.79999995,16163300.0,17,18276655.34117647,1.59,16,1,0,⭐,auto
363,环氧丙烷,310268857.6,16577700.0,26,11933417.600000001,0.46,19,5,2,⭐,auto
364,股权转让,307485675.72,25119700.0,46,6684471.211304349,0.08,27,17,2,⭐,auto
365,增强现实,298520269.01,17625400.0,38,7855796.552894737,0.61,33,5,0,⭐,auto
366,宠物经济,296337239.91,16298900.0,62,4779632.901774194,-0.05,42,17,3,⭐,auto
367,短剧互动游戏,292793698.84000003,37088900.0,32,9149803.088750001,1.25,32,0,0,⭐,auto
368,动力煤,291077102.99,21178100.0,16,18192318.936875,-1.79,1,14,1,⭐,auto
369,数据确权,290465199.28,38136700.0,32,9077037.4775,0.34,28,4,0,⭐,auto
370,中药概念,290241033.96000004,25327900.0,91,3189461.911648352,0.23,52,28,11,⭐,auto
371,空调,289901767.46000004,5216300.0,3,96633922.48666668,-1.29,0,3,0,⭐,auto
372,全息技术,289138633.18,8473800.0,9,32126514.79777778,1.07,6,3,0,⭐,auto
373,免税概念,284276531.0,14659800.0,17,16722148.88235294,-0.32,6,9,2,⭐,auto
374,环境治理,282272141.43,37758300.0,94,3002895.121595745,-1.74,59,27,8,⭐,auto
375,原料药,282107883.06000006,18468100.0,52,5425151.597307693,0.57,41,11,0,⭐,auto
376,统一大市场,275910454.0,40695500.0,48,5748134.458333333,0.22,33,12,3,⭐,auto
377,基因测序,274936341.55,33626800.0,36,7637120.598611112,0.56,29,5,2,⭐,auto
378,调味品概念,271282459.34000003,20339000.0,45,6028499.096444445,-0.01,22,20,3,⭐,auto
379,航空装备Ⅱ,268912850.0,7032600.0,43,6253787.209302326,-3.94,38,4,1,⭐,auto
380,航空装备Ⅲ,268912850.0,7032600.0,43,6253787.209302326,-3.94,38,4,1,⭐,auto
381,3D玻璃,268570831.18,12734900.0,15,17904722.07866667,0.92,14,1,0,⭐,auto
382,数字水印,267589211.11,25057600.0,15,17839280.74066667,-0.87,11,4,0,⭐,auto
