排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
478,机器人,51014845.0,1112695,17,3000873.2352941176,111.72063406034067,,-0.56,2,14,1,⭐,auto
479,核污染防治,50728012.36,3566423,30,1690933.7453333333,31.33368392084188,,-0.18,12,15,3,⭐,auto
480,环氧丙烷,50634284.0,2622336,20,2531714.2,44.49553520535612,12.907999999999998,-0.28,5,8,7,⭐,auto
481,CAR-T细胞疗法,50602954.0,1740282,23,2200128.434782609,72.25225360249759,4.954,-0.15,11,11,1,⭐,auto
482,光伏辅材,49935580.0,1807931,16,3120973.75,47.99568795215756,,-0.51,4,12,0,⭐,auto
483,食品加工,49698804.0,9879963,25,1987952.16,9.943948716351402,5.587999999999999,0.47,16,6,3,⭐,auto
484,沪企改革,49685137.0,5140400,39,1273977.8717948718,14.36078898504396,,-0.17,8,22,9,⭐,auto
485,户外露营,49577702.3,8577550,26,1906834.7038461538,29.601753093648316,4.1,0.2,11,8,7,⭐,auto
486,电机Ⅱ,49296785.0,2200800,25,1971871.4,30.460424902151324,,-0.21,5,15,5,⭐,auto
487,电机Ⅲ,49296785.0,2200800,25,1971871.4,30.460424902151324,,-0.21,5,15,5,⭐,auto
488,屏下摄像,48104986.0,5421900,9,5344998.444444444,22.530520755166627,16.844666666666665,-0.33,1,6,2,⭐,auto
489,航海装备Ⅱ,46900030.9,1646664,10,4690003.09,44.62042221394358,,0.18,4,5,1,⭐,auto
490,航海装备Ⅲ,46900030.9,1646664,10,4690003.09,44.62042221394358,,0.18,4,5,1,⭐,auto
491,医药商业,46373124.0,5665110,30,1545770.8,11.133174546223797,6.9,-0.11,13,10,7,⭐,auto
492,华为欧拉,45828003.0,1465706,14,3273428.785714286,35.594145331185395,,-0.39,3,11,0,⭐,auto
493,水泥制造,45512122.0,3873730,14,3250865.8571428573,14.691126177685364,4.287999999999999,-0.23,5,6,3,⭐,auto
494,猪肉概念,45358746.36,6239922,35,1295964.1817142856,18.390799839045638,10.274999999999999,-0.01,19,11,5,⭐,auto
495,黑色家电,44959088.0,3618714,10,4495908.8,13.372002676967115,,-0.49,2,8,0,⭐,auto
496,PLC概念,44704835.0,1318762,10,4470483.5,55.44373910472995,,-0.73,1,8,1,⭐,auto
497,钢铁,44281150.0,9511361,44,1006389.7727272727,10.53876846513697,,-0.03,15,18,11,⭐,auto
498,特色药,44073624.7,3022145,40,1101840.6175000002,28.034369199386497,,-0.07,16,19,5,⭐,auto
499,彩票概念,43095385.0,3786498,19,2268178.1578947366,14.844308500782624,,0.02,8,6,5,⭐,auto
500,啤酒概念,42495896.0,4670700,19,2236626.1052631577,13.899645681079415,,0.06,10,5,4,⭐,auto
501,氟化工,42453235.0,1359900,10,4245323.5,33.13941727055665,,-0.39,0,6,4,⭐,auto
502,造纸印刷,42373945.8,6185958,35,1210684.1657142856,14.26273059470426,2.4579999999999997,-0.15,8,19,8,⭐,auto
503,地摊经济,42225827.0,4240900,30,1407527.5666666667,27.019933238252506,11.444,0.07,12,12,6,⭐,auto
504,钾肥,42051655.0,737300,4,10512913.75,70.53216088950602,88.35799999999999,0.53,3,1,0,⭐,auto
505,大众出版,41608239.0,7438200,18,2311568.8333333335,13.66836544440153,,0.28,6,9,3,⭐,auto
506,医药流通,41237039.0,5377610,22,1874410.8636363635,10.15320367535797,6.9,-0.16,9,8,5,⭐,auto
507,综合包装,40483941.0,9138600,5,8096788.2,4.682935264874534,,-0.12,1,3,1,⭐,auto
508,多元金融,40471495.519999996,3751768,26,1556595.9815384613,17.281693440440474,6.8155,-0.36,3,18,5,⭐,auto
509,制冷空调设备,40379808.0,1555600,17,2375282.8235294116,51.969202243854156,6.064,-0.46,3,13,1,⭐,auto
510,调味品概念,40085102.2,3514324,32,1252659.44375,14.844049974805852,7.154,-0.01,15,13,4,⭐,auto
511,彩电,39316780.0,3195500,4,9829195.0,12.892849262833835,,-0.82,1,3,0,⭐,auto
512,燃气Ⅱ,39212353.8,2935940,29,1352150.1310344827,22.650195831039355,4.604,0.16,16,7,6,⭐,auto
513,裸眼3D,39205293.0,5325289,24,1633553.875,17.339523013696137,7.725999999999999,-0.49,4,18,2,⭐,auto
514,医疗耗材,38930277.0,1629022,50,778605.54,55.31889543784392,,0.02,18,25,7,⭐,auto
515,瓷砖地板,38698839.37,2737611,12,3224903.2808333333,15.341184916985792,,0.18,6,3,3,⭐,auto
516,代糖概念,38398987.0,1758800,15,2559932.466666667,24.70142891451798,,0.02,8,4,3,⭐,auto
517,保健品,38173485.0,8534263,8,4771685.625,7.004016395411632,,2.05,8,0,0,⭐,auto
518,独家药品,37728833.7,2601429,43,877414.7372093024,28.3312047909024,,0.05,21,19,3,⭐,auto
519,REITs概念,37010882.0,5511200,24,1542120.0833333333,15.223193110610008,4.05,-0.14,5,11,8,⭐,auto
520,水务及水治理,36797909.0,5994563,51,721527.6274509804,18.721943633971158,8.447999999999999,-0.01,25,14,11,⭐,auto
521,电子车牌,35625288.730000004,4241221,18,1979182.7072222224,10.885107521061203,,-0.39,3,9,6,⭐,auto
