排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,1195957620155.75,42234597900.0,569,2101858734.89587,-0.25,230,322,17,⭐,auto
2,大盘股,825674982001.7,27151681000.0,300,2752249940.0056667,-0.28,118,171,11,⭐,auto
3,深成500,781687705671.36,26676611900.0,500,1563375411.34272,-0.14,205,283,12,⭐,auto
4,标准普尔,770826568005.31,44272721600.0,800,963533210.0066376,-1.09,309,463,28,⭐,auto
5,HS300_,726665374520.93,25063337500.0,300,2422217915.069767,-0.48,113,174,13,⭐,auto
6,百元股,633429093260.5299,3264396800.0,249,2543891940.805341,1.89,159,88,2,⭐,auto
7,华为概念,583595289895.6001,24593289900.0,732,797261324.9939892,-0.36,383,331,18,⭐,auto
8,富时罗素,583070084777.02,31900721000.0,600,971783474.6283667,-1.41,209,370,21,⭐,auto
9,中盘股,579450806315.81,23009576100.0,497,1165896994.5992155,0.02,224,264,9,⭐,auto
10,中证500,535036483489.93005,24755465900.0,500,1070072966.9798601,-0.07,200,291,9,⭐,auto
11,电池技术,529354429846.61,21915022800.0,562,941911796.8800889,0.12,246,307,9,⭐,auto
12,国产芯片,432830249257.55994,8005332800.0,294,1472211732.1685712,1.53,207,87,0,⭐,auto
13,大盘成长,427407680975.4,6418799100.0,94,4546890223.142553,0.97,49,45,0,⭐,auto
14,上证180_,405000753744.0,16263972100.0,180,2250004187.4666667,-0.62,67,105,8,⭐,auto
15,半导体概念,371566942996.81,6636310800.0,276,1346257039.8435144,1.81,189,85,2,⭐,auto
16,中盘成长,369153753072.17,10101012400.0,228,1619095408.2112718,0.43,127,97,4,⭐,auto
17,通信技术,355627845100.9,8363403800.0,290,1226302914.1410346,0.65,163,121,6,⭐,auto
18,西部大开发,325249893340.67004,17569708000.0,574,566637444.8443729,-0.57,278,275,21,⭐,auto
19,基金重仓,310473045117.32,3011695600.0,100,3104730451.1732,1.89,58,41,1,⭐,auto
20,算力概念,303786124916.16003,9984831800.0,189,1607333994.265397,0.01,94,93,2,⭐,auto
21,行业龙头,294708342192.24,8492059500.0,96,3069878564.5025,0.02,43,51,2,⭐,auto
22,深证100R,292794094801.65,6935579900.0,100,2927940948.0165005,0.04,42,54,4,⭐,auto
23,物联网,286430423423.4,10882921300.0,365,784740886.091507,-0.46,192,164,9,⭐,auto
24,QFII重仓,273702269459.94998,14596536200.0,722,379089015.8725069,0.43,442,264,16,⭐,auto
25,商业航天,270364355268.51,9864021900.0,283,955351078.6873145,1.39,180,98,5,⭐,auto
26,光伏概念,269864606949.53,16975986700.0,418,645609107.5347607,-0.57,193,219,6,⭐,auto
27,权重股,265473776644.16,5746696900.0,50,5309475532.8832,0.34,17,31,2,⭐,auto
28,锂电池概念,263360670372.43,9043087800.0,280,940573822.7586786,1.41,128,147,5,⭐,auto
29,周期股,262991040068.50995,10127021000.0,100,2629910400.6850996,-1.36,31,64,5,⭐,auto
30,近期新高,262706760385.22003,8042403400.0,155,1694882325.0659356,1.1,76,77,2,⭐,auto
31,百日新高,256115432810.62,7547823300.0,140,1829395948.6472857,1.29,69,70,1,⭐,auto
32,固态电池,254215995267.31998,7937766300.0,200,1271079976.3365998,-0.54,75,122,3,⭐,auto
33,长江三角,249656234988.75998,17782003700.0,411,607436094.863163,-1.51,197,203,11,⭐,auto
34,光通信模块,247629260010.77997,3905104600.0,83,2983485060.370843,0.53,42,41,0,⭐,auto
35,创业成份,242510919298.63004,3545846300.0,100,2425109192.9863005,0.35,44,54,2,⭐,auto
36,军工,239240178438.35,10530973900.0,400,598100446.095875,0.15,263,131,6,⭐,auto
37,最近多板,239137033290.53,12569057900.0,179,1335961079.8353631,0.18,92,84,3,⭐,auto
38,CPO概念,226857366870.77002,3147203000.0,50,4537147337.4154005,0.61,28,22,0,⭐,auto
39,大数据,224968851790.11,11107291000.0,288,781141846.4934374,-0.67,144,135,9,⭐,auto
40,证金持股,222265813240.09003,13575982900.0,189,1176009593.8629103,-0.85,58,121,10,⭐,auto
41,小盘股,220190984200.0,11164467800.0,395,557445529.6202532,-0.31,174,212,9,⭐,auto
42,人工智能,218963299480.18,5487891900.0,274,799136129.489708,0.37,171,97,6,⭐,auto
43,上证50_,215537994304.0,6218575500.0,50,4310759886.08,0.38,16,31,3,⭐,auto
44,特斯拉概念,210414827037.62,5471284500.0,195,1079050395.064718,0.66,109,80,6,⭐,auto
