排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,14390078025.39,415071802,569,25290119.552530754,208.34659762688426,26.841363636363635,0.32,295,188,86,⭐,auto
2,大盘股,10460038713.83,302851114,300,34866795.71276667,233.55712504133243,29.150666666666666,0.36,153,102,45,⭐,auto
3,深成500,9589513546.13,249426297,500,19179027.09226,204.77378459350618,19.383166666666668,0.33,269,147,84,⭐,auto
4,HS300_,9330017264.01,228411946,300,31100057.5467,240.0397422187232,29.150666666666666,0.31,148,107,45,⭐,auto
5,标准普尔,9274306604.64,525571352,800,11592883.2558,78.54141032409335,,0.25,373,269,158,⭐,auto
6,华为概念,9147234600.84,345361480,732,12496222.132295081,121.8527911567847,14.0994,0.5,498,159,75,⭐,auto
7,百元股,8309500926.18,33390562,249,33371489.663373496,382.26477396562564,,0.7,151,83,14,⭐,auto
8,富时罗素,7544884422.58,318529003,600,12574807.370966667,146.1634983875871,,0.22,292,198,110,⭐,auto
9,算力概念,6699473334.36,175075484,189,35446948.859047614,230.46913199470208,21.939999999999998,0.83,130,41,18,⭐,auto
10,大盘成长,6491858797.67,58527389,94,69062327.63478723,322.82465968498497,,0.71,62,24,8,⭐,auto
11,通信技术,6087937176.27,107656648,290,20992886.81472414,236.1723594215786,,0.69,208,59,23,⭐,auto
12,中盘股,5992334005.01,184968826,497,12057010.070442656,131.15076472612884,22.905125,0.3,270,160,67,⭐,auto
13,中证500,5893267862.860001,275117536,500,11786535.725720001,106.00822741402656,17.75509090909091,0.34,265,155,80,⭐,auto
14,国产芯片,5440169488.23,82543032,294,18503977.851122446,238.8540643597263,,0.51,201,69,23,⭐,auto
15,电池技术,5316841817.07,213663710,559,9511344.93214669,106.9364527461313,18.824625,0.25,297,195,67,⭐,auto
16,光伏概念,5302138581.01,388211577,417,12714960.625923261,52.409335673322204,9.7045,0.4,239,115,63,⭐,auto
17,半导体概念,4952046858.0,83821091,276,17942198.760869566,250.70986928126413,,0.72,184,70,21,⭐,auto
18,上证180_,4883583585.0,148541051,180,27131019.916666668,185.78898944198576,,0.25,88,67,25,⭐,auto
19,QFII重仓,4505186340.59,219022284,721,6248524.744230236,111.19549438076564,12.361333333333334,0.27,402,224,94,⭐,auto
