排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,18018639046.95,432992074,567,31778904.844708998,0.76,377,121,69,⭐,auto
2,大盘股,13270403776.16,285342849,299,44382621.32494983,0.74,189,68,42,⭐,auto
3,百元股,11919052025.5,49157399,249,47867678.81726908,1.59,198,43,7,⭐,auto
4,HS300_,11700659964.42,232179516,299,39132642.021471575,0.54,183,74,42,⭐,auto
5,深成500,11681481677.02,269982471,500,23362963.35404,0.79,356,95,49,⭐,auto
6,标准普尔,8801473712.39,463167895,794,11084979.48663728,0.35,471,200,123,⭐,auto
7,大盘成长,8305969602.79,78860570,94,88361378.7530851,1.61,70,15,9,⭐,auto
8,华为概念,8027557027.4,258360039,725,11072492.451586206,1.02,606,66,53,⭐,auto
9,富时罗素,7717608337.55,330459939,594,12992606.628872054,0.31,351,156,87,⭐,auto
10,国产芯片,7560248036.41,115400096,293,25802894.32221843,1.82,269,18,6,⭐,auto
11,半导体概念,6929178131.75,92067603,275,25197011.388181817,1.9,246,18,10,⭐,auto
12,中盘股,6906532518.71,236191427,496,13924460.723205645,0.76,342,103,51,⭐,auto
13,电池技术,6870967670.07,234523369,561,12247714.206898395,0.76,423,81,54,⭐,auto
14,中证500,6091482103.93,277067599,500,12182964.20786,0.69,330,108,62,⭐,auto
15,上证180_,5908344544.0,145491876,179,33007511.41899441,0.53,103,42,34,⭐,auto
16,基金重仓,5657482001.51,35852903,100,56574820.0151,1.27,77,20,3,⭐,auto
17,权重股,5556446123.92,55716513,50,111128922.4784,0.54,26,15,9,⭐,auto
18,深证100R,5529290863.690001,71914453,100,55292908.63690001,0.61,64,29,7,⭐,auto
19,算力概念,5271699935.110001,145050309,189,27892592.249259263,1.69,161,20,8,⭐,auto
20,行业龙头,4974208148.26,88403156,96,51814668.21104167,0.6,60,27,9,⭐,auto
21,中盘成长,4951286995.21,110233885,227,21811836.983303964,1.24,179,33,15,⭐,auto
22,通信技术,4791657395.98,107354364,289,16580129.397854669,1.31,251,24,14,⭐,auto
23,西部大开发,4504384757.139999,213216553,569,7916317.675114234,0.36,353,137,79,⭐,auto
24,存储芯片,4431879582.7,50247234,98,45223261.04795918,3.14,96,1,1,⭐,auto
25,数字芯片设计,4382097070.0,17867142,51,85923471.96078432,3.21,51,0,0,⭐,auto
26,物联网,4295590349.950001,144775809,362,11866271.684944753,1.04,311,31,20,⭐,auto
27,创业成份,4222919035.3999996,37350166,100,42229190.353999995,1.08,78,20,2,⭐,auto
28,人工智能,4215556868.9,86139051,271,15555560.40184502,1.11,224,34,13,⭐,auto
29,百日新高,4033125707.46,117506143,140,28808040.76757143,1.33,98,32,9,⭐,auto
30,近期新高,4018340521.0699997,122174557,155,25924777.55529032,1.23,109,36,9,⭐,auto
31,周期股,3951914247.2199993,92595679,99,39918325.729494944,0.44,71,23,5,⭐,auto
32,锂电池概念,3924412129.05,109143123,279,14065993.294086022,0.85,218,37,24,⭐,auto
33,光通信模块,3915238507.98,51111853,83,47171548.288915664,1.93,78,3,2,⭐,auto
34,最近多板,3851987301.33,234710762,176,21886291.484829545,1.11,124,36,16,⭐,auto
35,特斯拉概念,3682129749.4800005,62458107,194,18980050.25505155,0.85,158,17,19,⭐,auto
36,固态电池,3669361417.2,86877461,200,18346807.086,0.71,153,28,19,⭐,auto
37,CPO概念,3643741199.1400003,49237690,50,72874823.9828,2.04,45,3,2,⭐,auto
38,QFII重仓,3611594235.65,212565416,719,5023079.604520167,0.7,516,132,70,⭐,auto
39,上证50_,3572221266.0,57516141,50,71444425.32,0.69,29,13,8,⭐,auto
40,商业航天,3477800160.25,140899760,280,12420714.858035713,1.03,233,30,17,⭐,auto
41,长江三角,3466165770.69,233102748,404,8579618.244282179,0.51,260,89,54,⭐,auto
42,光伏概念,3287976749.1099997,213042347,414,7941972.823937197,0.75,312,58,44,⭐,auto
43,茅指数,3227790675.92,31503521,42,76852158.9504762,0.18,25,15,2,⭐,auto
44,新能源车,3190418957.17,79526865,363,8789032.939862259,0.72,280,48,35,⭐,auto
45,数据中心,3186001725.67,85339810,187,17037442.38326203,1.19,159,15,13,⭐,auto
46,消费电子概念,3171506133.61,75448939,175,18122892.192057144,1.36,155,14,6,⭐,auto
47,证金持股,2895358909.5200005,126193806,188,15400845.263404258,0.19,105,48,35,⭐,auto
48,军工,2876440808.93,121052986,394,7300611.190177664,0.84,313,45,36,⭐,auto
49,大数据,2775164293.01,147137347,285,9737418.571964914,0.97,233,33,19,⭐,auto
50,阿里概念,2705690022.66,77827244,162,16701790.263333332,0.82,125,23,14,⭐,auto
51,AH股,2636781529.0,99766599,100,26367815.29,0.47,48,29,23,⭐,auto
52,通信,2507925644.04,37399224,123,20389639.382439025,1.33,110,9,4,⭐,auto
