排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
701,综合包装,2311260.52,192022,5,462252.104,-0.96,0,4,1,⭐
702,洗护用品,2261483.0,142400,4,565370.75,-0.08,1,3,0,⭐
703,医疗美容,2045980.0,68272,3,681993.3333333334,-0.22,0,3,0,⭐
704,其他养殖,2017567.0,386900,3,672522.3333333334,-3.95,0,3,0,⭐
705,医美耗材,1880595.0,19772,2,940297.5,-0.18,0,2,0,⭐
706,血液制品,1816844.0,211100,6,302807.3333333333,-0.37,0,4,1,⭐
707,汽车服务,1775822.0,407500,8,221977.75,-0.34,1,6,1,⭐
708,餐饮,1628235.0,305300,4,407058.75,-0.23,1,3,0,⭐
709,其他数字媒体,1558396.0,131400,2,779198.0,-0.78,0,2,0,⭐
710,渔业,1494553.0,355000,6,249092.16666666666,-0.35,1,5,0,⭐
711,个护小家电,1480396.0,47900,3,493465.3333333333,-0.56,0,2,1,⭐
712,辅料,1462082.0,142200,3,487360.6666666667,-1.17,0,3,0,⭐
713,广告媒体,1426232.0,247200,3,475410.6666666667,-0.35,0,2,1,⭐
714,长材,1300543.0,503700,3,433514.3333333333,0.07,1,2,0,⭐
715,其他医疗服务,1296868.0,102095,4,324217.0,-0.66,0,3,1,⭐
716,其他饰品,1294764.0,318200,2,647382.0,2.48,1,0,1,⭐
717,人工景区,1268952.0,119800,5,253790.4,-0.59,0,5,0,⭐
718,公交,1253499.0,148700,6,208916.5,-0.34,1,5,0,⭐
719,汽车综合服务,1186268.0,177900,4,296567.0,-0.33,1,3,0,⭐
720,印染,991396.0,130500,4,247849.0,-0.7,0,3,1,⭐
721,水产养殖,966928.0,303800,4,241732.0,-0.25,1,3,0,⭐
722,氨纶,834960.0,73500,1,834960.0,-0.7,0,1,0,⭐
723,视频媒体,748332.0,36900,1,748332.0,-0.29,0,1,0,⭐
724,学历教育,718726.0,127400,2,359363.0,-0.63,0,2,0,⭐
725,图片媒体,712707.0,35300,1,712707.0,-0.2,0,1,0,⭐
726,其他能源发电,711225.0,156600,2,355612.5,-0.34,0,1,1,⭐
727,其他专业服务,653622.0,11200,3,217874.0,-0.39,1,2,0,⭐
728,涂料,590269.0,33500,2,295134.5,-0.21,0,2,0,⭐
729,汽车经销商,589554.0,229600,4,147388.5,-0.36,0,3,1,⭐
730,海洋捕捞,527625.0,51200,2,263812.5,-0.55,0,2,0,⭐
731,纺织鞋类制造,121075.0,2900,1,121075.0,0.14,1,0,0,⭐
732,房地产综合服务,56457.0,12300,1,56457.0,-0.22,0,1,0,⭐
