排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,9987227365.77,230442387,569,17552244.931054484,-0.28,108,395,66,⭐
2,深成500,7770887086.34,189852625,499,15572920.012705412,-0.18,96,352,51,⭐
3,百元股,7521660825.440001,33922182,246,30575857.01398374,-0.08,77,163,5,⭐
4,大盘股,7250682874.52,134768271,299,24249775.50006689,-0.3,52,207,40,⭐
5,HS300_,6496603335.46,123138917,300,21655344.451533332,-0.25,50,211,39,⭐
6,标准普尔,6081221078.51,320750278,800,7601526.348137501,-0.2,160,508,132,⭐
7,华为概念,5778924812.24,217742256,732,7894706.0276502725,-0.24,152,507,70,⭐
8,富时罗素,4877557079.67,213676068,600,8129261.79945,-0.21,113,396,91,⭐
9,电池技术,4550237083.709999,172872891,561,8110939.543155079,-0.11,150,339,72,⭐
10,中盘股,4529466573.48,136150295,497,9113614.835975854,-0.2,103,341,53,⭐
11,大盘成长,4442418691.92,35962261,93,47767942.923870966,-0.34,16,70,7,⭐
12,算力概念,4359635743.92,180882536,188,23189551.829361703,-0.21,48,125,15,⭐
13,中证500,4017198069.67,140047947,500,8034396.13934,-0.21,106,327,67,⭐
14,通信技术,3892521425.91,61302656,290,13422487.675551724,-0.06,87,180,21,⭐
15,深证100R,3771984773.14,35924623,100,37719847.7314,-0.19,18,74,8,⭐
16,光通信模块,3746544739.38,41448727,82,45689569.992439024,0.67,36,39,7,⭐
17,基金重仓,3650995771.0699997,22595642,100,36509957.7107,-0.21,29,67,4,⭐
18,西部大开发,3364247587.4300003,129110389,573,5871287.238097732,-0.2,124,353,94,⭐
19,行业龙头,3310564890.31,36780865,96,34485050.94072916,-0.26,20,65,11,⭐
20,权重股,3295725873.86,26913596,50,65914517.4772,-0.23,11,33,6,⭐
21,中盘成长,3267161948.18,65619539,228,14329657.667456139,-0.24,49,159,20,⭐
22,创业成份,3232726239.54,30895353,100,32327262.3954,-0.36,17,80,3,⭐
23,QFII重仓,3196120718.46,190011794,721,4432899.7482108185,-0.16,203,404,108,⭐
24,CPO概念,3071069355.2799997,29381282,49,62674884.80163265,0.9,29,19,1,⭐
25,通信,2949874866.59,47566464,123,23982722.492601626,-0.08,37,75,11,⭐
26,国产芯片,2911663444.27,47833685,293,9937417.898532422,-0.08,79,190,20,⭐
27,光伏概念,2783015929.42,199443553,418,6657932.845502392,-0.18,98,254,65,⭐
28,特斯拉概念,2703366796.4300003,62020493,194,13934880.393969074,-0.17,48,126,18,⭐
29,固态电池,2615406348.42,70984855,200,13077031.7421,0.03,56,116,28,⭐
30,周期股,2611871277.75,57296922,100,26118712.7775,-0.24,25,65,10,⭐
31,上证180_,2591325302.0,75525475,180,14396251.677777778,-0.27,30,120,30,⭐
32,商业航天,2533928440.19,82899594,281,9017538.933060499,-0.15,66,192,23,⭐
33,锂电池概念,2497443051.95,71392125,277,9016039.898736462,-0.04,80,161,36,⭐
34,小金属概念,2377858310.38,90226695,110,21616893.730727274,0.07,28,73,9,⭐
35,长江三角,2370255539.94,193268697,409,5795245.818924205,-0.23,85,255,68,⭐
36,节能环保,2256264915.6499996,92273040,412,5476371.15449029,-0.12,105,234,71,⭐
37,有色金属,2242075405.76,77458170,138,16246923.23014493,-0.28,35,93,10,⭐
38,物联网,2168382748.28,87997546,365,5940774.652821918,-0.26,87,231,43,⭐
39,半导体概念,2149052666.4,37147646,273,7871987.7890109895,-0.06,80,173,16,⭐
40,数据中心,2145307104.1399999,77461563,189,11350831.238835977,-0.19,45,130,14,⭐
41,新能源车,2123973867.48,51625209,363,5851167.679008264,-0.17,103,215,44,⭐
42,PCB,2080760191.95,39303142,132,15763334.7875,-0.06,40,85,7,⭐
43,最近多板,2067789079.8600001,125127793,177,11682424.180000002,0.07,60,86,31,⭐
44,大数据,2055124867.9399998,113954512,287,7160713.825574912,-0.36,53,206,27,⭐
45,百日新高,2002146605.8400002,71996577,137,14614208.801751826,0.27,49,71,17,⭐
46,军工,1956172462.8600001,97042258,397,4927386.556322418,-0.18,84,270,40,⭐
47,阿里概念,1879315512.98,117528993,162,11600713.04308642,-0.44,17,133,12,⭐
48,消费电子概念,1854793294.59,55391333,175,10598818.82622857,-0.21,36,126,13,⭐
49,近期新高,1824804250.8400002,73501915,153,11926825.16888889,0.18,53,80,19,⭐
50,小米概念,1798052317.6999998,69027553,222,8099334.764414414,-0.21,51,149,21,⭐
51,贬值受益,1727957932.4,34038801,169,10224603.15029586,-0.09,45,94,29,⭐
52,锂矿概念,1727846927.08,33246763,37,46698565.59675676,0.19,17,18,2,⭐
53,风能,1682621768.99,117552300,223,7545389.098609866,-0.1,57,130,36,⭐
54,F5G概念,1654361154.47,14745121,25,66174446.1788,0.5,9,15,1,⭐
55,茅指数,1647788539.1999998,11989334,42,39233060.45714285,-0.37,5,36,1,⭐
56,小盘股,1622820134.0,108873154,395,4108405.4025316457,-0.13,96,252,46,⭐
57,证金持股,1595750204.9,58944365,189,8443122.777248677,-0.18,32,115,42,⭐
58,DeepSeek概念,1551656179.3500001,56913845,248,6256678.142540324,-0.25,44,187,17,⭐
59,光纤概念,1542385219.93,34558452,63,24482305.07825397,0.22,23,37,3,⭐
60,云计算,1528885177.94,60081480,136,11241802.778970588,-0.36,27,101,8,⭐
61,电池,1513091497.9099998,33667780,93,16269801.052795697,-0.21,18,64,11,⭐
