排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,竞价均价(元),五日线均价(元),平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
1,MSCI中国,12733950414.6,445797024,569,22379526.21195079,197.00112920794203,32.78518181818182,0.13,238,225,106,⭐,auto
2,大盘股,8907703447.1,314980995,300,29692344.82366667,225.68947084047693,39.284,0.1,122,115,63,⭐,auto
3,深成500,8429891203.86,221332477,500,16859782.40772,206.47288785574835,22.02582978723404,0.06,187,236,77,⭐,auto
4,标准普尔,8189620915.59,501728279,800,10237026.1444875,73.90601334781987,,0.07,298,322,180,⭐,auto
5,百元股,7377155575.7,30870481,249,29627130.826104417,374.92077418101144,97.622,0.08,111,129,9,⭐,auto
6,HS300_,7376071991.3,220758977,300,24586906.63766667,241.58031553855872,39.284,0.07,119,119,62,⭐,auto
7,华为概念,7218415135.62,259193371,731,9874712.907824898,98.1678151732721,14.996631578947367,0.12,272,359,100,⭐,auto
8,富时罗素,6270200933.780001,360572446,600,10450334.889633335,123.42702030726443,,0.01,222,250,128,⭐,auto
9,通信技术,5599783547.7,114010914,289,19376413.65986159,262.15949788138715,,0.33,128,137,24,⭐,auto
10,中证500,5570506422.389999,268618942,500,11141012.844779998,96.43342426527417,19.130695652173912,0.07,192,219,89,⭐,auto
11,中盘股,5438429382.57,173899952,497,10942513.848229375,129.54406303876235,23.948,0.12,205,212,80,⭐,auto
12,国产芯片,4938920508.04,84443693,294,16799049.34707483,228.61345894709913,,-0.05,108,158,28,⭐,auto
13,大盘成长,4935270670.03,78076051,94,52502879.468404256,345.275726212479,,0.07,45,37,12,⭐,auto
14,半导体概念,4833930291.22,93496339,276,17514240.18557971,230.54728122726695,,0.08,106,154,15,⭐,auto
15,光通信模块,4613488591.440001,69885125,83,55584199.89686748,297.07332646174865,,1.09,53,22,8,⭐,auto
16,CPO概念,4405125064.54,53785511,50,88102501.2908,281.4342702655455,,1.38,36,11,3,⭐,auto
17,电池技术,4392848596.87,200611951,559,7858405.361127012,62.25532355417334,18.79125,0.12,242,244,73,⭐,auto
18,基金重仓,4388751055.58,32399071,100,43887510.5558,388.7070690767597,97.622,0.26,49,44,7,⭐,auto
19,中盘成长,4036268899.68,98218449,228,17702933.770526316,162.1886838890216,20.923555555555556,0.17,96,108,24,⭐,auto
20,算力概念,3956254328.3199997,108987059,188,21043906.001702126,328.59476383159415,21.764,-0.08,56,116,16,⭐,auto
21,上证180_,3793683670.0,158877731,180,21076020.388888888,158.58404759890325,,0.08,75,62,43,⭐,auto
22,光伏概念,3729055673.12,250267311,417,8942579.551846523,51.420053375282826,10.055733333333333,0.24,183,166,68,⭐,auto
23,QFII重仓,3661438178.16,214300805,721,5078277.63961165,99.47767332902086,12.775818181818181,0.06,269,356,95,⭐,auto
24,物联网,3591550340.2200003,132377005,364,9866896.539065935,110.46074705874456,28.82133333333333,-0.02,119,194,51,⭐,auto
25,通信,3465007596.1099997,61488368,122,28401701.607459012,322.6622102324574,29.534000000000002,0.54,61,48,13,⭐,auto
26,深证100R,3381235558.87,45995232,100,33812355.5887,348.51592366052904,39.284,0.11,37,47,16,⭐,auto
27,长江三角,3237366159.52,190399503,406,7973808.274679803,59.59627593475875,9.710181818181818,0.01,128,201,77,⭐,auto
28,西部大开发,3213799866.38,180915472,573,5608725.7702966845,164.3994929774201,18.675636363636364,0.09,226,256,91,⭐,auto
29,存储芯片,3163417712.5899997,45674998,98,32279772.577448975,202.55787906033711,,-0.04,35,58,5,⭐,auto
30,创业成份,3048391195.9,32263204,100,30483911.959000003,401.9861481501926,,-0.07,36,58,6,⭐,auto
31,权重股,2966514200.45,78319913,50,59330284.008999996,411.15095854116515,80.34400000000001,0.24,19,20,11,⭐,auto
32,商业航天,2886245538.92,100735819,282,10234913.25858156,73.07208076629604,17.513714285714286,0.07,111,146,25,⭐,auto
33,大数据,2777676531.0,125266662,286,9712155.702797202,47.46594755174277,16.87875,-0.1,83,173,30,⭐,auto
34,央国企改革,2707729614.0,310960166,372,7278843.048387097,30.033886653286363,,0.05,127,161,83,⭐,auto
35,有色金属,2701441154.1400003,108025495,139,19434828.447050363,45.77685140522969,24.583333333333332,0.9,106,27,6,⭐,auto
36,军工,2666194076.99,162950042,397,6715854.0982115865,50.5646088932639,16.359333333333332,0.06,136,197,64,⭐,auto
37,行业龙头,2655873452.6,89354269,96,27665348.464583334,309.072612854695,57.098,0.03,38,39,19,⭐,auto
38,数据中心,2611186444.93,84255180,189,13815801.295925925,152.2626282109666,,-0.04,62,108,19,⭐,auto
39,光纤概念,2535186660.05,64441179,63,40241058.09603175,179.32683635343903,29.534000000000002,0.92,39,17,7,⭐,auto
40,风能,2473977824.8,180919715,223,11094070.9632287,35.27249834796611,10.87575,0.15,92,83,48,⭐,auto
41,AH股,2412041869.0,151465872,100,24120418.69,118.21636114877937,,0.21,43,34,23,⭐,auto
42,小金属概念,2393708998.16,100808013,110,21760990.892363634,41.8923354959539,40.520500000000006,0.86,84,20,6,⭐,auto
43,小盘股,2378103607.0,152651206,395,6020515.4607594935,101.81455204441353,,0.04,155,185,55,⭐,auto
44,周期股,2377712674.0,67608855,100,23777126.74,117.99843897302287,7.352666666666667,0.17,45,38,17,⭐,auto
45,消费电子概念,2344792081.48,54585527,174,13475816.560229884,115.56931799797643,23.6825,0.17,73,75,26,⭐,auto
46,节能环保,2307296562.96,164533417,410,5627552.592585366,256.8601580226401,12.222999999999999,0.08,155,183,70,⭐,auto
47,最近多板,2206420420.31,130236213,177,12465652.092146892,50.7328870048259,16.136499999999998,0.24,79,76,22,⭐,auto
48,新能源,2201076677.3199997,212515755,208,10582099.410192307,24.097677607236474,10.352133333333335,0.11,82,77,49,⭐,auto
49,百日新高,2194997653.4,61218692,139,15791350.024460433,142.54496944476182,16.932,0.12,61,66,12,⭐,auto
50,新能源车,2164580710.02,78584572,363,5963032.259008264,71.47497214478608,,0.1,159,167,36,⭐,auto
51,人工智能,2152279078.58,62563091,272,7912790.730073529,221.78712324477772,,-0.12,89,154,27,⭐,auto
