排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,10570982894.36,270051690,568,18610885.377394367,0.15,243,251,74,⭐
2,深成500,7526518472.610001,179672788,500,15053036.945220001,0.11,203,229,68,⭐
3,大盘股,7014081932.309999,162750703,299,23458468.00103679,0.23,149,102,48,⭐
4,华为概念,6916069978.61,226270375,732,9448183.030887978,-0.06,263,383,85,⭐
5,标准普尔,6788683995.08,343773748,797,8517796.731593475,-0.03,282,383,132,⭐
6,百元股,6537568366.09,31430394,247,26467888.12182186,0.34,139,98,7,⭐
7,HS300_,5863018574.129999,143394770,299,19608757.77301003,0.22,138,113,48,⭐
8,富时罗素,5657755692.78,253763276,597,9476977.709849246,-0.04,196,295,105,⭐
9,中盘股,5553700625.049999,174356279,497,11174447.937726356,0.07,188,250,59,⭐
10,通信技术,5370493676.66,134044062,290,18518943.71262069,0.0,116,144,29,⭐
11,中证500,5038518917.38,184595715,500,10077037.83476,-0.01,182,256,62,⭐
12,电池技术,4687881801.79,225863248,561,8356295.546862745,-0.02,226,265,69,⭐
13,大盘成长,4561106498.41,54977244,94,48522409.55755319,0.48,61,26,7,⭐
14,国产芯片,4313429815.6,113211270,294,14671529.985034015,0.41,139,129,26,⭐
15,光通信模块,4225248182.35,84776405,82,51527416.85792683,0.21,41,38,3,⭐
16,中盘成长,4156698385.8199997,88146813,228,18231133.27114035,0.18,97,109,22,⭐
17,商业航天,3559472659.41,166785215,282,12622243.473085105,-0.03,106,146,28,⭐
18,CPO概念,3427054393.42,48676123,49,69939885.58,-0.1,25,24,0,⭐
19,基金重仓,3414607353.5,31093196,100,34146073.535,0.41,49,42,6,⭐
20,算力概念,3411529040.5,143696634,189,18050418.203703705,0.02,66,100,23,⭐
21,长江三角,3402564996.45,239885185,410,8298939.015731707,0.14,154,183,71,⭐
22,光伏概念,3293800877.84,207936378,418,7879906.40631579,0.11,184,157,76,⭐
23,物联网,3267594136.6099997,103946625,365,8952312.703041095,-0.01,122,200,40,⭐
24,QFII重仓,3202079976.0600004,153187905,721,4441165.015339807,-0.09,279,358,79,⭐
25,半导体概念,3162344431.35,61703321,274,11541403.034124088,0.33,159,94,19,⭐
26,深证100R,3059306212.59,39614267,100,30593062.1259,0.27,46,40,14,⭐
27,创业成份,2811115998.73,33804463,100,28111159.9873,0.13,43,51,6,⭐
28,西部大开发,2764734254.4,153507731,573,4825016.150785341,-0.19,180,304,85,⭐
29,通信,2740480430.54,56654063,123,22280328.703577235,-0.02,38,77,6,⭐
30,光纤概念,2708439482.5099998,64597694,63,42991102.89698412,0.32,31,30,2,⭐
31,锂电池概念,2576972334.45,99949621,278,9269684.656294964,-0.1,103,146,28,⭐
32,行业龙头,2562734825.64,48413077,96,26695154.43375,0.15,47,33,16,⭐
33,大数据,2549071001.15,99564807,287,8881780.491811847,-0.17,85,163,38,⭐
34,上证180_,2547176894.0,90436581,179,14230038.51396648,0.21,83,63,33,⭐
35,数据中心,2479080280.09,92318329,188,13186597.234521277,-0.06,66,103,18,⭐
36,周期股,2437300159.79,62964157,99,24619193.533232324,0.26,50,39,10,⭐
37,军工,2403838481.02,126515395,399,6024657.847167919,-0.08,137,205,53,⭐
38,固态电池,2385926827.58,77619831,200,11929634.1379,-0.17,82,102,15,⭐
39,新能源车,2337077513.4300003,76519388,363,6438230.064545455,-0.09,135,186,39,⭐
40,风能,2332272515.2,138778368,223,10458621.144394618,0.24,113,74,36,⭐
41,特斯拉概念,2261213670.65,49049422,194,11655740.570360824,-0.16,68,96,29,⭐
42,PCB,2174181492.9700003,46760171,132,16471071.916439395,0.06,58,66,8,⭐
43,节能环保,2108236625.69,152713217,412,5117079.188567962,0.2,179,157,73,⭐
44,存储芯片,2086030595.96,29053367,98,21286026.489387754,0.57,70,22,5,⭐
45,权重股,2029190777.1299999,29937781,50,40583815.5426,0.18,23,18,9,⭐
46,小盘股,2002775529.0,115337934,394,5083186.621827411,-0.13,125,211,55,⭐
