排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注,data_source
288,VPN,228804466.0,14964848,19,12042340.315789474,-0.8,11,7,1,⭐,auto
289,化学原料,227705503.59,15138133,58,3925956.958448276,-0.14,20,32,6,⭐,auto
290,玻璃玻纤,225432513.8,6792373,15,15028834.253333334,0.56,9,4,2,⭐,auto
291,C2M概念,224312993.0,44449081,37,6062513.324324325,0.16,21,10,6,⭐,auto
292,IPO受益,224143343.0,12253052,54,4150802.6481481483,0.14,27,16,11,⭐,auto
293,玻纤制造,222227292.8,6187473,8,27778411.6,0.95,5,3,0,⭐,auto
294,知识产权,221285153.12,11987673,42,5268694.121904762,0.05,23,15,4,⭐,auto
295,旅游概念,219780626.01999998,49992138,52,4226550.500384615,0.03,29,13,10,⭐,auto
296,医美概念,219653324.12,14104785,75,2928710.988266667,0.19,45,15,15,⭐,auto
297,超超临界发电,217847869.01,27259529,49,4445874.877755102,0.04,24,15,10,⭐,auto
298,军工电子Ⅱ,217459553.3,7907748,62,3507412.1500000004,0.36,41,13,7,⭐,auto
299,塑料,208477998.06,10335813,73,2855862.9871232877,0.32,41,21,11,⭐,auto
300,白酒,208226707.6,8146704,46,4526667.556521739,0.24,25,13,8,⭐,auto
301,MLCC,205675937.9,4086224,18,11426440.994444445,0.05,10,4,4,⭐,auto
302,影视概念,204345449.0,24522199,62,3295894.3387096776,0.25,40,14,8,⭐,auto
303,机器视觉,203455392.89,6549855,82,2481163.327926829,0.35,43,23,14,⭐,auto
304,其他电源设备Ⅱ,202094169.04,9374399,31,6519166.743225806,0.05,15,13,3,⭐,auto
305,氦气概念,200495615.0,7280741,15,13366374.333333334,-1.64,3,11,1,⭐,auto
306,生物识别,199974716.48000002,7772623,50,3999494.3296000003,0.38,38,9,3,⭐,auto
307,航空装备Ⅲ,196777857.99,6463469,45,4372841.2886666665,0.2,23,14,7,⭐,auto
308,航空装备Ⅱ,196777857.99,6463469,45,4372841.2886666665,0.2,23,14,7,⭐,auto
309,精准医疗,196639658.76,26555363,44,4469083.153636363,-0.02,25,9,10,⭐,auto
310,短剧互动游戏,195442772.4,18819659,35,5584079.2114285715,0.13,21,10,3,⭐,auto
311,综合Ⅲ,193996248.5,20377987,17,11411544.029411765,0.1,6,10,1,⭐,auto
312,综合Ⅱ,193996248.5,20377987,17,11411544.029411765,0.1,6,10,1,⭐,auto
313,家电零部件Ⅱ,192965867.1,8659310,31,6224705.39032258,0.36,21,5,5,⭐,auto
314,家电零部件Ⅲ,192965867.1,8659310,31,6224705.39032258,0.36,21,5,5,⭐,auto
315,上海自贸,189606200.0,3263445,34,5576652.94117647,0.03,15,10,9,⭐,auto
316,医疗服务,189481491.52,20701031,53,3575122.481509434,0.16,30,12,11,⭐,auto
317,EDR概念,187313120.8,3851313,13,14408701.600000001,0.37,9,2,2,⭐,auto
318,快手概念,184736958.84,13921184,32,5773029.96375,0.31,23,7,2,⭐,auto
319,垃圾分类,184521966.55,18692825,97,1902288.3149484538,0.12,56,23,18,⭐,auto
320,基因测序,181573878.76,27733795,39,4655740.481025641,0.21,28,6,5,⭐,auto
321,北交所概念,180878782.34,12601603,25,7235151.2936,0.78,14,6,5,⭐,auto
322,破发股,179886755.0,16035325,182,988388.7637362637,-0.08,90,65,26,⭐,auto
323,飞行汽车(eVTOL),179390304.7,8593818,80,2242378.80875,0.21,53,18,9,⭐,auto
324,中俄贸易概念,177407792.88,14525386,76,2334313.064210526,0.27,37,27,12,⭐,auto
325,模拟芯片设计,176958838.67,2830013,35,5055966.819142857,0.41,24,6,5,⭐,auto
326,通信工程及服务,175764177.0,13973194,19,9250746.157894736,1.62,14,3,2,⭐,auto
327,空气能热泵,174956545.2,6257900,35,4998758.434285714,0.18,21,10,4,⭐,auto
328,环境治理,174796142.55,20038286,96,1820793.1515625,0.2,41,33,22,⭐,auto
329,磁悬浮概念,174384850.18,7834751,29,6013270.695862069,0.23,17,9,3,⭐,auto
330,钨,174014123.0,3612900,4,43503530.75,0.64,4,0,0,⭐,auto
331,土地流转,173806381.0,47241433,44,3950145.022727273,0.01,21,14,9,⭐,auto
332,家居用品,173686854.2,38168928,73,2379271.9753424656,0.06,38,22,11,⭐,auto
333,3D玻璃,173537592.0,10874900,15,11569172.8,0.25,11,2,2,⭐,auto
334,酿酒概念,172830778.0,3389584,35,4938022.228571429,0.01,14,14,7,⭐,auto
335,新消费,172354013.39,11478159,79,2181696.372025316,0.32,51,17,11,⭐,auto
336,商贸零售,171910899.0,26015420,100,1719108.99,0.2,49,21,30,⭐,auto
337,其他自动化设备,170374208.0,1682598,26,6552854.153846154,0.29,13,9,3,⭐,auto
338,专业工程,168799392.0,14572000,37,4562145.72972973,0.56,25,7,5,⭐,auto
339,PVDF概念,167226038.0,4412663,16,10451627.375,0.55,7,7,2,⭐,auto
340,IPv6,166062964.2,14671157,13,12774074.169230768,0.39,11,1,1,⭐,auto
341,钙钛矿电池,163698603.0,16300008,43,3806944.2558139535,0.08,22,15,5,⭐,auto
342,UWB概念,162254255.04,8027358,19,8539697.63368421,0.29,14,3,2,⭐,auto
343,金属制品,160719102.0,9641002,69,2329262.347826087,0.06,38,21,10,⭐,auto
344,肝炎概念,159432386.6,6709968,56,2847006.9035714283,0.08,28,17,11,⭐,auto
345,彩票概念,158749765.6,13274518,19,8355250.821052631,0.26,11,4,4,⭐,auto
346,冰雪经济,157533281.51999998,14685249,42,3750792.417142857,0.25,22,10,10,⭐,auto
347,谷子经济,156778393.39,18184578,71,2208146.385774648,0.12,35,21,14,⭐,auto
348,光伏发电,156496998.0,22585700,13,12038230.615384616,0.4,7,4,2,⭐,auto
349,创新药,156202701.0,5577935,93,1679598.935483871,0.21,56,21,16,⭐,auto
350,东北振兴,156158620.0,16419372,56,2788546.785714286,0.03,26,16,14,⭐,auto
351,增强现实,155079641.42999998,7292630,44,3524537.305227272,0.1,21,18,5,⭐,auto
352,通信应用增值服务,153640891.08,4458902,17,9037699.475294119,0.24,12,3,2,⭐,auto
353,白酒Ⅲ,153514214.0,1481900,19,8079695.47368421,0.1,9,5,5,⭐,auto
354,体外诊断概念,152602766.6,14991323,68,2244158.332352941,-0.06,34,20,13,⭐,auto
355,刀片电池,151042899.0,3319149,12,12586908.25,-0.06,5,5,2,⭐,auto
356,白银,148813888.0,4880000,3,49604629.333333336,2.73,3,0,0,⭐,auto
357,有机硅概念,146300477.6,4942815,34,4302955.2235294115,0.18,16,12,6,⭐,auto
358,分立器件,146102116.0,1926819,18,8116784.222222222,-0.09,12,6,0,⭐,auto
359,农业种植,145667998.5,15692987,77,1891792.1883116884,-0.1,32,35,10,⭐,auto
360,时空大数据,143551623.1,8637317,26,5521216.273076923,0.56,17,5,4,⭐,auto
361,环保设备Ⅱ,143389042.0,9212684,26,5514963.153846154,0.24,16,8,2,⭐,auto
362,腾讯云,142192897.84,3309234,20,7109644.892,0.67,17,2,1,⭐,auto
363,汽车零部件,141431494.0,5705401,72,1964326.3055555555,0.24,42,20,10,⭐,auto
364,广告营销,139051985.84,10507184,30,4635066.194666667,0.1,16,10,4,⭐,auto
365,原料药,137585301.45,9355111,41,3355739.0597560974,0.22,24,7,10,⭐,auto
366,热力服务,137205327.0,10582100,18,7622518.166666667,0.69,10,5,3,⭐,auto
367,被动元件,135748238.0,3666300,16,8484264.875,0.9,13,1,2,⭐,auto
368,机器人执行器,134875476.35,2920844,35,3853585.0385714285,0.17,21,9,5,⭐,auto
369,化学制剂,133825484.0,6533439,94,1423675.3617021276,0.09,50,31,13,⭐,auto
370,智慧灯杆,133196061.1,7224963,26,5122925.426923077,0.6,16,7,3,⭐,auto
371,风力发电,132043410.0,24237000,15,8802894.0,0.21,7,5,3,⭐,auto
372,辅助生殖,131710640.75999999,6202980,54,2439085.94,0.3,35,9,10,⭐,auto
373,创新医疗服务,131356423.52,5175256,77,1705927.5781818181,0.16,48,16,13,⭐,auto
374,ERP概念,130096099.22,6719319,21,6195052.343809524,0.43,16,3,2,⭐,auto
375,建筑节能,128281127.0,11932400,45,2850691.711111111,-0.03,20,15,10,⭐,auto
376,航空机场,127659124.0,32001576,13,9819932.615384616,1.73,12,0,1,⭐,auto
377,减速器,125257954.30000001,6338506,76,1648130.9776315792,0.22,46,19,11,⭐,auto
378,减肥药,123928470.0,3410512,34,3644955.0,0.37,27,3,4,⭐,auto
379,银行,123678736.0,16896736,42,2944731.8095238097,-0.0,14,9,19,⭐,auto
380,风电设备,123093335.52,4861234,30,4103111.184,0.27,18,9,3,⭐,auto
381,流感,123052665.2,10123323,123,1000428.1723577236,0.11,61,31,31,⭐,auto
382,医院,121858135.12,19062742,15,8123875.674666667,0.23,8,3,4,⭐,auto
383,基础建设,120732244.03999999,21118133,44,2743914.637272727,0.03,26,9,9,⭐,auto
384,环氧丙烷,120271189.4,6874771,20,6013559.470000001,0.08,9,9,2,⭐,auto
385,金属新材料,120232091.12,3520331,32,3757252.8475,0.81,30,1,1,⭐,auto
386,病毒防治,119210009.2,7546242,99,1204141.5070707072,0.11,54,27,18,⭐,auto
387,页岩气,117314134.0,15195006,30,3910471.1333333333,-0.23,10,16,4,⭐,auto
388,MLOps概念,115897733.16,5806769,10,11589773.316,0.74,8,1,1,⭐,auto
389,电子竞技,114119655.39,13262028,32,3566239.2309375,0.22,19,8,5,⭐,auto
390,其他通用设备,113952123.03999999,5567045,49,2325553.5314285713,-0.13,26,14,9,⭐,auto
391,宠物经济,113856216.0,4000438,63,1807241.5238095238,-0.13,37,11,14,⭐,auto
392,民爆概念,113814664.0,8556561,22,5173393.818181818,0.12,13,8,1,⭐,auto
393,红利破净股,113161797.0,16326246,39,2901584.5384615385,-0.14,11,14,14,⭐,auto
394,屏下摄像,112909534.0,19330000,9,12545503.777777778,0.6,8,0,1,⭐,auto
395,AI语料,112794462.0,11171898,32,3524826.9375,-0.11,14,13,5,⭐,auto
396,膜材料,110029693.0,5446241,20,5501484.65,0.65,13,6,1,⭐,auto
397,空间站概念,108957106.35,2877331,20,5447855.3175,0.27,11,6,3,⭐,auto
398,工业大麻,108741293.8,8387762,36,3020591.4944444443,-0.6,14,14,8,⭐,auto
399,稀土,107205233.0,1943750,4,26801308.25,-0.29,1,2,1,⭐,auto
400,3D摄像头,105945460.0,2312175,9,11771717.777777778,0.94,8,0,1,⭐,auto
401,服装家纺,103602026.52,14731869,60,1726700.442,0.14,25,24,11,⭐,auto
402,全息技术,101231415.0,2183100,11,9202855.909090908,0.22,8,2,1,⭐,auto
403,影视院线,99271252.0,14169700,18,5515069.555555556,0.18,11,4,3,⭐,auto
404,快递概念,98817837.38,19322256,40,2470445.9345,0.23,24,9,6,⭐,auto
405,燃气Ⅱ,97291758.11,6129666,29,3354888.210689655,-0.46,5,17,7,⭐,auto
406,镍,96769302.0,1405305,1,96769302.0,1.31,1,0,0,⭐,auto
407,碳基材料,96605621.0,5596492,19,5084506.368421053,0.8,10,7,2,⭐,auto
408,医疗器械概念,95295037.0,7709723,86,1108081.8255813953,0.23,52,20,13,⭐,auto
409,影视动漫制作,95280407.0,13822500,14,6805743.357142857,0.13,7,4,3,⭐,auto
410,其他汽车零部件,94847134.62,4405340,52,1823983.358076923,-0.03,30,13,9,⭐,auto
411,逆变器,93887726.0,745549,9,10431969.555555556,-0.33,5,4,0,⭐,auto
412,其他金属新材料,91954448.0,2675517,18,5108580.444444444,1.13,18,0,0,⭐,auto
413,单抗概念,91878503.0,4338770,49,1875071.4897959183,0.22,28,12,9,⭐,auto
414,地下管网,91759718.84,8948563,48,1911660.8091666668,0.16,25,14,9,⭐,auto
415,水务及水治理,91352505.0,4218473,51,1791225.5882352942,0.29,17,19,15,⭐,auto
416,工程机械概念,90400353.03999999,6673480,51,1772555.9419607841,0.16,28,15,8,⭐,auto
417,首发经济,90127347.39,8793826,40,2253183.68475,0.31,27,9,4,⭐,auto
418,零售概念,89812907.8,8252740,62,1448595.2870967742,0.08,27,15,20,⭐,auto
419,资源开采概念,89638841.5,10069499,19,4717833.763157895,-0.25,5,12,2,⭐,auto
420,钒电池,89534696.32,12223206,22,4069758.9236363634,0.28,13,6,3,⭐,auto
421,汽车电子电气系统,87540166.79,9468970,39,2244619.6612820514,0.2,22,14,3,⭐,auto
422,能源及重型设备,87023014.4,6653862,55,1582236.6254545455,-0.06,21,22,12,⭐,auto
423,其他专业工程,86093026.0,4941000,18,4782945.888888889,0.06,11,4,3,⭐,auto
424,核污染防治,84249341.69,5142177,30,2808311.3896666667,0.21,19,9,2,⭐,auto
425,统一大市场,84107917.8,18886377,40,2102697.945,0.12,18,12,10,⭐,auto
426,医疗器械,83007561.0,7413361,90,922306.2333333333,0.08,52,23,13,⭐,auto
427,一般零售,81930415.0,13341930,58,1412593.3620689656,0.12,25,13,20,⭐,auto
428,航天装备Ⅲ,80746686.0,1389576,9,8971854.0,0.36,7,2,0,⭐,auto
429,生态农业,80627714.0,10354428,39,2067377.282051282,0.06,19,11,9,⭐,auto
430,汽车整车,79785482.9,10449680,24,3324395.1208333336,0.15,14,7,3,⭐,auto
431,汽车一体化压铸,77350228.0,4274902,29,2667249.2413793104,0.17,17,7,5,⭐,auto
432,食品加工,76931051.3,26639581,25,3077242.0519999997,0.32,12,7,6,⭐,auto
433,土壤修复,76588171.0,10048391,34,2252593.2647058824,0.25,16,9,9,⭐,auto
434,氟化工,76299721.0,2182940,10,7629972.1,-0.22,4,5,1,⭐,auto
435,游戏Ⅲ,76214162.39,5360679,25,3048566.4956,0.24,15,8,2,⭐,auto
436,游戏Ⅱ,76214162.39,5360679,25,3048566.4956,0.24,15,8,2,⭐,auto
437,白色家电,76122524.4,8937378,10,7612252.44,-0.33,4,5,1,⭐,auto
438,中药概念,75803954.0,9582812,96,789624.5208333334,0.13,46,29,21,⭐,auto
439,风电零部件,75641054.47,2965383,25,3025642.1788,0.27,14,8,3,⭐,auto
440,培育钻石,75566662.35,2840265,15,5037777.489999999,0.52,11,3,1,⭐,auto
441,电网自动化设备,74912061.6,3017546,26,2881233.138461538,0.48,20,2,4,⭐,auto
442,房屋检测,74276454.8,7489765,37,2007471.7513513514,0.12,24,9,4,⭐,auto
443,造纸印刷,73801025.0,11315547,35,2108600.714285714,0.04,11,13,11,⭐,auto
444,煤炭,73695305.0,6990779,32,2302978.28125,-0.98,0,31,1,⭐,auto
445,拼多多概念,73242661.0,11173602,28,2615809.3214285714,0.28,17,5,6,⭐,auto
446,食品安全,72886808.28,5259029,47,1550783.1548936171,0.14,26,14,7,⭐,auto
447,大众出版,72682851.6,4255118,18,4037936.1999999997,-0.06,6,6,6,⭐,auto
448,轮胎轮毂,71652781.0,5490132,21,3412037.1904761903,0.13,12,5,4,⭐,auto
449,多元金融,71494519.57,8725701,26,2749789.214230769,0.02,19,4,3,⭐,auto
450,教育运营及其他,71066854.0,21585400,2,35533427.0,-9.73,1,1,0,⭐,auto
451,钢铁,71052944.0,13344163,43,1652394.046511628,0.18,21,10,12,⭐,auto
452,人造肉,69531191.0,6392400,18,3862843.9444444445,0.05,8,7,3,⭐,auto
453,炼油化工,68750590.0,7439310,10,6875059.0,-0.92,2,8,0,⭐,auto
454,煤炭开采,68571839.0,5717378,25,2742873.56,-1.06,0,24,1,⭐,auto
455,GDR,66872859.0,3630200,11,6079350.818181818,0.16,7,4,0,⭐,auto
456,交运设备,66834252.1,6105288,44,1518960.2750000001,0.0,22,14,7,⭐,auto
457,净水概念,65923221.2,2475568,21,3139201.00952381,0.1,7,9,5,⭐,auto
458,基建市政工程,65517260.04,12029533,26,2519894.616923077,0.46,18,4,4,⭐,auto
459,CRO,63466990.4,1572781,37,1715324.0648648648,0.14,20,7,10,⭐,auto
460,第四代半导体,62791501.0,7054253,5,12558300.2,0.1,2,2,1,⭐,auto
461,氯碱,62505065.5,4656730,14,4464647.535714285,0.77,5,6,3,⭐,auto
462,饮料乳品,61536441.0,2362000,26,2366786.1923076925,0.1,7,11,8,⭐,auto
463,油气开采Ⅲ,60818949.0,3578900,5,12163789.8,-2.45,0,5,0,⭐,auto
464,油气开采Ⅱ,60818949.0,3578900,5,12163789.8,-2.45,0,5,0,⭐,auto
465,地热能,60793214.46,3017286,9,6754801.606666666,0.26,6,2,1,⭐,auto
466,轨交设备Ⅲ,60725435.1,6115652,30,2024181.1700000002,0.07,15,10,4,⭐,auto
467,钾肥,60337376.0,1344700,4,15084344.0,0.5,4,0,0,⭐,auto
468,化妆品概念,60263368.989999995,3847596,56,1076131.5891071428,0.01,26,19,11,⭐,auto
469,数字阅读,59902282.0,2871200,19,3152751.6842105263,0.0,8,8,3,⭐,auto
470,猪肉概念,59652690.7,8463961,35,1704362.5914285716,-0.16,11,17,7,⭐,auto
