排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,10138300097.810001,307708172,568,17849119.890510567,-0.35,117,401,50,⭐
2,深成500,7976504380.13,230287707,500,15953008.76026,-0.57,87,375,38,⭐
3,大盘股,6599402073.07,152007861,299,22071578.839698996,-0.3,62,211,26,⭐
4,百元股,6312490076.49,28461265,247,25556639.985789474,-0.22,79,156,10,⭐
5,HS300_,6066641733.58,140541038,299,20289771.684214048,-0.19,65,209,25,⭐
6,华为概念,5939048686.34,239998114,732,8113454.489535519,-0.49,132,551,46,⭐
7,标准普尔,5929000353.48,412380535,797,7439147.244015056,-0.45,125,581,91,⭐
8,富时罗素,5861500070.51,318688755,597,9818258.074556114,-0.43,102,419,76,⭐
9,中盘股,5412514228.639999,216120939,497,10890370.681368208,-0.43,111,332,54,⭐
10,通信技术,4873902920.16,95383260,290,16806561.793655172,-0.51,72,198,19,⭐
11,大盘成长,4789799537.92,49332212,94,50955314.23319149,-0.4,19,65,10,⭐
12,算力概念,4698634295.73,182911281,188,24992735.615585104,-0.6,37,142,8,⭐
13,中证500,4421251474.23,212965114,500,8842502.94846,-0.49,95,347,58,⭐
14,光通信模块,4328100431.080001,71496301,82,52781712.57414635,-0.66,17,62,3,⭐
15,国产芯片,4132450125.52,136285034,294,14055952.807891157,-0.12,86,194,12,⭐
16,电池技术,3814485700.04,185334674,561,6799439.750516934,-0.5,117,393,48,⭐
17,中盘成长,3550028200.41,95993233,228,15570299.124605263,-0.44,56,151,21,⭐
18,CPO概念,3513065634.5199995,35578077,49,71695217.0310204,-0.96,10,37,2,⭐
19,创业成份,3476279130.77,39653800,100,34762791.3077,-0.59,22,71,7,⭐
20,基金重仓,3459234343.51,22905397,100,34592343.435100004,-0.33,28,65,7,⭐
21,深证100R,3386808806.33,32611962,100,33868088.0633,-0.3,19,78,3,⭐
22,西部大开发,3291760840.83,155819166,570,5775019.019,-0.52,105,401,59,⭐
23,通信,3134147937.91,48600948,123,25480877.54398374,-1.06,19,96,7,⭐
24,长江三角,3119808114.13,264692945,409,7627892.699584353,-0.37,77,284,48,⭐
25,商业航天,3075209812.04,154909536,281,10943807.160284698,-0.65,47,220,12,⭐
26,QFII重仓,3019014518.5299997,150875991,719,4198907.536203059,-0.47,133,524,60,⭐
27,光伏概念,2897976732.72,228411386,418,6932958.690717703,-0.56,80,304,32,⭐
28,权重股,2839374528.3599997,36677644,50,56787490.56719999,-0.37,11,35,4,⭐
29,半导体概念,2614170391.94,54523729,274,9540767.853795622,-0.1,83,179,9,⭐
30,军工,2468799333.98,162798233,398,6203013.401959799,-0.52,78,289,27,⭐
31,上证180_,2467637328.0,97766900,179,13785683.396648044,-0.13,41,115,23,⭐
32,物联网,2253862607.52,78736289,365,6174966.0479999995,-0.53,68,265,31,⭐
33,风能,2241424912.21,176600023,223,10051232.790179372,-0.67,32,170,20,⭐
34,小盘股,2120848616.0,189040255,394,5382864.507614213,-0.49,64,298,30,⭐
35,光纤概念,2099839144.2499998,60434426,63,33330780.067460313,-1.03,12,47,4,⭐
36,周期股,2088245640.96,56478631,99,21093390.312727273,-0.25,18,77,4,⭐
37,人工智能,2044757483.97,81375203,273,7489954.1537362635,-0.42,54,203,14,⭐
38,节能环保,2034458052.13,155606118,412,4938004.980898059,-0.35,87,275,48,⭐
39,大数据,2030666114.23,115675122,287,7075491.687212544,-0.63,38,232,16,⭐
40,锂电池概念,2000157276.71,80813016,278,7194810.347877698,-0.51,61,190,25,⭐
41,新能源,1992348222.23,207494255,210,9487372.486809524,-0.73,24,165,19,⭐
42,行业龙头,1964255338.94,40200823,96,20460993.113958333,-0.31,19,70,7,⭐
43,小米概念,1964176846.98,94736236,222,8847643.454864865,-0.41,54,150,17,⭐
44,特斯拉概念,1956991865.51,42471547,194,10087586.935618557,-0.3,42,142,10,⭐
45,DeepSeek概念,1871198630.45,66164857,248,7545155.767943549,-0.53,47,189,11,⭐
46,消费电子概念,1861885249.2799997,58198920,175,10639344.281599998,-0.3,48,120,7,⭐
47,PCB,1825594100.65,48741388,132,13830258.338257577,-0.58,25,102,5,⭐
48,固态电池,1808801400.22,61962799,200,9044007.0011,-0.54,43,137,18,⭐
49,数据中心,1795471562.53,81366393,188,9550380.65175532,-0.68,30,145,12,⭐
50,存储芯片,1716417466.84,26836101,98,17514463.947346937,-0.24,29,68,1,⭐
51,阿里概念,1657339020.21,98745541,162,10230487.779074075,-0.68,14,135,10,⭐
52,百度概念,1607111005.58,89165476,146,11007609.627260273,-0.63,18,115,13,⭐
53,最近多板,1590608316.4,127459230,176,9037547.252272727,-0.52,33,129,12,⭐
54,新能源车,1573759893.58,58871557,363,4335426.704077135,-0.57,77,252,33,⭐
55,近期新高,1543368660.1799998,67491068,152,10153741.185394736,-0.17,45,98,9,⭐
56,军民融合,1526481064.5700002,84947276,174,8772879.681436783,-0.57,25,136,12,⭐
57,百日新高,1491622611.6999998,64476643,136,10967813.321323529,-0.13,42,87,7,⭐
58,央国企改革,1454292924.0,137107329,370,3930521.416216216,-0.34,58,263,46,⭐
59,数字芯片设计,1448594156.55,10535412,51,28403806.99117647,0.74,22,27,2,⭐
60,区块链,1399776383.52,106573493,198,7069577.694545454,-0.54,35,148,15,⭐
61,第三代半导体,1390023365.24,82833549,94,14787482.60893617,-0.44,29,62,3,⭐
62,电网概念,1385189121.72,77737266,218,6354078.54,-0.75,37,171,10,⭐
63,上证50_,1339995790.0,36565063,50,26799915.8,-0.04,11,32,7,⭐
64,云计算,1325422373.0,44474179,136,9745752.74264706,-0.74,18,111,7,⭐
65,AI眼镜,1322578761.15,44429728,116,11401541.044396553,-0.37,29,80,7,⭐
66,股权激励,1300357213.2,84800527,211,6162830.394312796,-0.31,46,143,20,⭐
67,小金属概念,1296552263.6499999,63754035,110,11786838.760454545,-0.94,16,88,6,⭐
68,证金持股,1294319254.56,92995711,189,6848250.024126984,-0.18,32,140,17,⭐
69,贬值受益,1285478948.1,30538326,170,7561640.87117647,-0.56,28,126,16,⭐
70,有色金属,1211326701.1,46054173,138,8777729.71811594,-0.67,20,110,7,⭐
71,英伟达概念,1209126436.25,57638813,60,20152107.270833332,-0.86,15,44,1,⭐
72,钠离子电池,1191452170.0,44897149,69,17267422.753623188,-0.63,12,51,5,⭐
73,量子科技,1168140534.85,38959092,52,22464241.05480769,-0.19,12,39,1,⭐
74,LED概念,1159118995.31,47491649,96,12074156.201145833,-0.47,24,64,6,⭐
75,机器人概念,1155856466.0,36015406,264,4378244.189393939,-0.25,66,173,23,⭐
76,网络安全,1147952478.2,53321459,131,8762996.016793894,-0.6,21,101,8,⭐
77,破增发价股,1110936601.34,137330991,601,1848480.2018968384,-0.51,81,450,66,⭐
78,电商概念,1095276941.0,110051836,292,3750948.428082192,-0.34,49,214,27,⭐
79,电力,1092646011.0,157467328,108,10117092.694444444,-0.76,17,83,8,⭐
80,工业互联,1080443117.58,53477486,192,5627307.904062499,-0.55,32,147,12,⭐
81,低空经济,1068957966.87,57918811,184,5809554.167771739,-0.49,42,127,14,⭐
82,AI应用,1060765700.16,65227370,196,5412069.8987755105,-0.77,20,168,7,⭐
83,电池,1042138570.7,25887039,94,11086580.539361702,-0.79,18,66,9,⭐
84,F5G概念,1020753100.25,10781865,25,40830124.01,-0.97,3,20,2,⭐
85,海工装备,1013567647.2,49967534,72,14077328.433333334,-0.4,11,56,5,⭐
86,AI芯片,995720728.4,10770390,38,26203177.063157894,0.22,11,26,1,⭐
87,AH股,980625050.0,38896871,100,9806250.5,-0.28,19,67,14,⭐
88,养老金,979905762.75,33662837,196,4999519.197704081,-0.47,37,138,21,⭐
89,智能电网,979195793.26,59132321,187,5236341.140427807,-0.74,34,145,8,⭐
90,MiniLED,966123096.96,47443278,66,14638228.741818182,-0.81,11,52,3,⭐
91,信创,957739068.0999999,11166225,89,10761113.1247191,-0.52,15,74,0,⭐
92,中特估,955066253.2,62459922,81,11790941.397530865,-0.11,20,44,17,⭐
93,无人机,952462419.87,45526293,216,4409548.240138889,-0.46,40,161,14,⭐
94,AIGC概念,944048321.1699998,72762548,109,8660993.772201834,-0.93,12,91,5,⭐
95,液冷概念,937146903.66,22393391,93,10076848.426451612,-0.8,15,72,6,⭐
96,AI智能体,918339382.6400001,76737553,135,6802513.945481482,-0.65,14,113,7,⭐
97,氢能源,917937594.0,80780047,91,10087226.307692308,-0.22,23,53,15,⭐
98,公用事业,908153104.0,133933536,94,9661203.234042553,-0.29,22,62,10,⭐
99,核能核电,904918151.53,68554130,186,4865151.352311828,-0.63,23,139,22,⭐
100,AIPC,881022806.7,12855133,42,20976733.492857143,0.2,15,23,4,⭐
101,无线耳机,879031083.0899999,18836282,81,10852235.593703702,-0.43,18,59,4,⭐
102,稀缺资源,865868263.6999999,36428496,77,11245042.385714285,-0.67,14,56,6,⭐
103,茅指数,856057931.5,9776682,42,20382331.70238095,-0.19,10,31,1,⭐
104,元宇宙概念,853394252.89,67949636,142,6009818.682323944,-0.67,22,112,7,⭐
105,绿色电力,848398743.0,115622136,99,8569684.272727273,-0.58,20,71,8,⭐
106,人形机器人,848309388.97,29125521,227,3737045.766387665,-0.45,38,175,13,⭐
107,数字经济,846847033.8100001,72568498,177,4784446.518700565,-0.58,29,134,13,⭐
108,锂矿概念,845754773.14,21917428,37,22858237.11189189,-1.02,9,28,0,⭐
109,参股新三板,835074213.3,77236349,104,8029559.74326923,-0.48,15,77,11,⭐
110,特高压,816435621.0,43493534,85,9605124.952941176,-0.69,12,68,5,⭐
111,水利建设,811723094.7,92151451,107,7586197.146728972,-0.72,15,85,7,⭐
112,参股银行,806857619.8,71092944,228,3538849.209649123,-0.48,28,170,29,⭐
113,北斗导航,796366360.97,40555691,71,11216427.619295776,-0.85,9,55,4,⭐
114,油气资源,790626659.85,83545564,144,5490462.915625,-0.67,22,104,17,⭐
115,智慧城市,778128195.3800001,56303023,203,3833143.819605912,-0.54,40,146,14,⭐
116,独角兽,777714189.1200001,36765214,104,7478021.04923077,-0.53,22,74,8,⭐
117,卫星互联网,761013086.41,26149386,88,8647875.981931819,-0.96,11,71,4,⭐
118,可控核聚变,757990413.2,35895517,75,10106538.842666667,-0.65,19,48,6,⭐
119,汽车芯片,754115844.0,29343513,69,10929215.130434783,0.01,24,39,5,⭐
120,历史新高,753014240.81,21548878,39,19308057.456666667,-0.17,16,20,3,⭐
121,天然气,746348776.85,76340162,120,6219573.140416667,-0.66,19,86,15,⭐
122,毫米波概念,741904258.86,16935663,45,16486761.308,-0.85,8,37,0,⭐
123,数据安全,739969040.2700001,30393373,81,9135420.250246914,-0.56,12,66,3,⭐
