排名,板块名称,成交额(元),成交量(股),统计股数,平均每只成交额,平均涨幅%,上涨数,下跌数,平盘数,关注
1,MSCI中国,9401262492.8,330230171,568,16551518.473239435,-0.46,129,386,53,⭐
2,深成500,6996705972.97,268560427,500,13993411.945940001,-0.47,112,346,40,⭐
3,大盘股,6874032025.91,232093381,299,22990073.665250834,-0.46,70,208,21,⭐
4,标准普尔,6606781775.299999,483463721,795,8310417.327421383,-0.34,206,489,97,⭐
5,百元股,6489968371.650001,35360281,248,26169227.305040326,-1.03,41,197,9,⭐
6,HS300_,6250662967.48,221953704,299,20905227.315986622,-0.42,69,206,24,⭐
7,华为概念,4890806649.01,255292929,731,6690569.97128591,-0.66,137,522,63,⭐
8,富时罗素,4855672073.25,311326060,596,8147100.794043624,-0.36,170,351,75,⭐
9,中盘股,4168563041.5099998,196310427,497,8387450.787746479,-0.46,111,331,55,⭐
10,最近多板,4097384410.99,315022519,177,23149064.468870055,1.53,104,62,9,⭐
11,电池技术,3886648753.46,198754984,559,6952860.024078712,-0.57,107,409,38,⭐
12,中证500,3824601873.04,212688946,500,7649203.74608,-0.4,126,319,55,⭐
13,国产芯片,3597348113.95,79530476,294,12235877.93860544,-0.8,48,230,13,⭐
14,算力概念,3585218061.51,177109192,188,19070308.83781915,-0.81,44,131,12,⭐
15,通信技术,3576226725.8900003,69608856,290,12331816.296172416,-0.87,54,221,14,⭐
16,大盘成长,3549343966.15,38361590,94,37758978.36329787,-0.84,10,80,4,⭐
17,百日新高,3180402279.8,106760927,139,22880591.941007197,0.39,55,74,10,⭐
18,深证100R,3147350309.48,55705066,100,31473503.0948,-0.43,20,73,7,⭐
19,近期新高,3092807131.8,111251052,154,20083163.193506494,0.34,59,84,11,⭐
20,物联网,2980270891.77,115118226,363,8210112.649504133,-0.66,71,262,26,⭐
21,行业龙头,2855889559.42,49579169,96,29748849.577291667,-0.17,35,56,5,⭐
22,上证180_,2849129079.0,148194451,179,15916922.229050279,-0.36,44,121,14,⭐
23,QFII重仓,2748138657.5,154717305,712,3859745.305477528,-0.45,184,448,66,⭐
24,中盘成长,2714335503.8100004,74667811,228,11904980.279868422,-0.71,44,165,19,⭐
25,光伏概念,2705954811.79,192176949,416,6504699.066802884,-0.75,74,314,24,⭐
26,基金重仓,2693243935.14,25018278,100,26932439.3514,-0.76,22,72,5,⭐
27,半导体概念,2636154486.7799997,51236327,275,9586016.315563636,-1.01,38,225,11,⭐
28,权重股,2632934508.36,44146704,50,52658690.1672,-0.44,13,33,4,⭐
29,周期股,2596954822.62,102083035,99,26231866.895151515,-0.52,24,71,4,⭐
30,光通信模块,2589925985.86,35340369,83,31203927.54048193,-1.42,10,71,2,⭐
31,CPO概念,2539479136.51,33378773,50,50789582.73020001,-1.65,5,44,1,⭐
32,创业成份,2513621749.9399996,26573697,100,25136217.499399997,-0.67,23,70,7,⭐
33,西部大开发,2334798674.42,191078276,567,4117810.7132627866,-0.4,142,344,76,⭐
34,长江三角,2323805689.76,200398534,407,5709596.28933661,-0.56,80,267,57,⭐
35,大数据,2301031115.48,122295940,282,8159684.806666667,-0.5,71,185,25,⭐
36,军工,2203255159.08,105916083,397,5549761.105994962,-0.59,84,281,29,⭐
37,商业航天,2151819300.21,94346755,281,7657719.929572954,-0.64,58,209,13,⭐
38,英伟达概念,2048341666.0700002,37654246,60,34139027.76783334,-0.48,15,42,3,⭐
39,特斯拉概念,2023078905.8,47389277,194,10428241.782474227,-0.64,39,138,15,⭐
40,PCB,1969557907.9599998,43188759,132,14920893.24212121,-0.88,16,104,10,⭐
41,人工智能,1856057856.19,63425302,270,6874288.356259259,-0.51,67,176,24,⭐
42,锂电池概念,1845205280.04,67318717,277,6661390.90267148,-0.64,57,206,11,⭐
43,小盘股,1841344058.0,118784916,394,4673462.076142132,-0.61,98,255,39,⭐
44,小米概念,1820547520.1599998,61887491,222,8200664.505225224,-0.83,34,172,14,⭐
45,风能,1797293803.56,152324119,222,8095918.034054054,-0.77,45,162,14,⭐
46,数据中心,1781477140.67,107396774,187,9526615.725508021,-0.51,50,120,14,⭐
47,固态电池,1779884244.0700002,60454495,200,8899421.220350001,-0.73,33,158,7,⭐
48,茅指数,1763924582.6999998,28283323,42,41998204.349999994,-0.32,13,27,2,⭐
49,通信,1753646858.77,42881941,123,14257291.534715448,-0.81,23,95,5,⭐
50,证金持股,1737627093.01,136896046,188,9242697.30324468,-0.31,45,120,23,⭐
51,新能源,1724155447.25,157123326,210,8210264.034523809,-0.92,41,154,13,⭐
52,云计算,1687723024.13,41777279,133,12689646.797969926,-0.61,26,95,12,⭐
53,存储芯片,1676645124.62,21549463,98,17108623.720612243,-1.04,13,82,3,⭐
54,人形机器人,1638325666.67,54203602,227,7217293.685770925,-0.21,57,149,17,⭐
55,节能环保,1592457446.34,135364279,410,3884042.5520487805,-0.49,102,271,32,⭐
56,小金属概念,1591177775.15,147162429,110,14465252.501363637,-0.45,25,76,9,⭐
57,上证50_,1520025575.0,45268792,50,30400511.5,-0.41,11,34,5,⭐
58,破增发价股,1480492699.92,189839515,598,2475740.3008695655,-0.43,141,374,82,⭐
59,消费电子概念,1455933981.23,41621422,174,8367436.673735633,-0.82,26,141,7,⭐
60,独角兽,1450273080.43,70774646,103,14080321.169223301,-0.55,24,71,8,⭐
61,央国企改革,1384646062.0,126727841,371,3732199.628032345,-0.42,85,235,49,⭐
62,新能源车,1348601690.1599998,43276026,361,3735738.753905817,-0.49,87,243,28,⭐
63,DeepSeek概念,1348267918.68,59941123,247,5458574.569554656,-0.54,55,169,20,⭐
64,阿里概念,1344380587.3899999,82816695,161,8350189.983788819,-0.6,35,111,13,⭐
65,工业互联,1287989862.92,59601939,192,6708280.536041667,-0.53,40,137,14,⭐
66,有色金属,1251549468.8600001,55932950,138,9069199.049710145,-0.48,32,95,10,⭐
67,宁组合,1243558220.6,16820408,24,51814925.85833333,-0.66,7,16,1,⭐
68,历史新高,1243429153.25,19977129,41,30327540.323170733,0.14,14,25,2,⭐
69,AI眼镜,1228971936.73,31594734,116,10594585.661465518,-0.92,19,93,3,⭐
70,军民融合,1194433230.8400002,60292551,173,6904238.328554914,-0.79,35,125,13,⭐
71,AH股,1184865560.0,47180392,100,11848655.6,-0.22,32,52,16,⭐
72,大盘价值,1166038160.6100001,103760483,100,11660381.6061,-0.16,32,56,12,⭐
73,区块链,1154830627.8999999,68027541,197,5862084.405583756,-0.49,41,136,19,⭐
74,消费电子零部件及组装,1147141074.63,20186811,78,14706936.85423077,-0.62,12,62,3,⭐
75,电池,1115960216.5,30317300,94,11871917.196808511,-0.73,19,71,3,⭐
76,机器人概念,1069544876.0,37617055,263,4066710.5551330796,-0.4,59,178,24,⭐
77,数字芯片设计,1041387607.3,6623481,51,20419364.849019606,-1.21,5,44,1,⭐
78,光纤概念,1011752878.1,25482954,63,16059569.493650794,-0.98,5,55,3,⭐
79,电网概念,1009609410.46,58814325,217,4652577.928387097,-0.43,56,147,13,⭐
80,贬值受益,997398935.8599999,28073725,172,5798831.02244186,-0.82,33,119,19,⭐
81,液冷概念,993402497.9,22291200,93,10681747.289247312,-0.91,19,69,4,⭐
82,股权激励,976338597.16,40226734,211,4627197.1429383885,-0.29,56,138,16,⭐
83,第三代半导体,961302482.31,43823227,95,10118973.498,-0.69,18,77,0,⭐
84,网络安全,951057716.44,47545901,129,7372540.43751938,-0.74,27,95,7,⭐
85,百度概念,944627099.34,68909405,145,6514669.65062069,-0.54,32,97,15,⭐
86,稀缺资源,943671104.22,56350100,78,12098347.49,-0.72,13,56,8,⭐
